Chassis code	Years	Model	Engine	Power	Torque
W123.020	1976–1981	200	2.0L M115 I4	PS (kW; hp) @ 4800	N·m (lb·ft) @ 3000
W123.220	1979–1985	200	2.0L M102 I4	PS (kW; hp) @ 5200	N·m (lb·ft) @ 3000
W123.280	1980–1985	200T	2.0L M102 I4	PS (kW; hp) @ 5200	N·m (lb·ft) @ 3000
W123.120	1976–1979	200D	2.0L OM615 I4 Diesel	PS (kW; hp) @ 4200	N·m (lb·ft) @ 2400
W123.120	1979–1985	200D	2.0L OM615 I4 Diesel	PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.126	1976–1979	220D	2.2L OM615 I4 Diesel	PS (kW; hp) @ 4200	N·m (lb·ft) @ 2400
W123.023	1975–1981	230	2.3L M115 I4	PS (kW; hp) @ 4800	N·m (lb·ft) @ 3000
W123.223	1979–1985	230E	2.3L M102 I4	PS (kW; hp) @ 5100	N·m (lb·ft) @ 3500
W123.043	1977–1980	230C	2.3L M115 I4	PS (kW; hp) @ 4800	N·m (lb·ft) @ 3000
W123.243	1980–1985	230CE	2.3L M102 I4	PS (kW; hp) @ 5100	N·m (lb·ft) @ 3500
W123.083	1978–1980	230T	2.3L M115 I4	PS (kW; hp) @ 4800	N·m (lb·ft) @ 3000
W123.283	1980–1985	230TE	2.3L M102 I4	PS (kW; hp) @ 5100	N·m (lb·ft) @ 3500
W123.123	1976–1985	240D	2.4L OM616 I4 Diesel	PS (kW; hp) @ 4200 from 02/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.125	1977–1985	240D LWB	2.4L OM616 I4 Diesel	PS (kW; hp) @ 4200 from 02/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.183	1978–1986	240TD	2.4L OM616 I4 Diesel	PS (kW; hp) @ 4200 from 02/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.026	1975–1985	250	2.5L M123 I6	PS (kW; hp) @ 5500 from 09/79 PS (kW; hp) @ 5500	N·m (lb·ft) @ 3500 from 09/79 N·m (lb·ft) @ 3500
W123.028	1977–1985	250 LWB	2.5L M123 I6	PS (kW; hp) @ 5500 from 09/79 PS (kW; hp) @ 5500	N·m (lb·ft) @ 3500 from 09/79 N·m (lb·ft) @ 3500
W123.086	1978–1985	250	2.5L M123 I6	PS (kW; hp) @ 5500 from 09/79 PS (kW; hp) @ 5500	N·m (lb·ft) @ 3500 from 09/79 N·m (lb·ft) @ 3500
W123.030	1975–1981	280	2.8L M110 I6	PS (kW; hp) @ 5500	N·m (lb·ft) @ 4000
W123.033	1975–1985	280E	2.8L M110 I6	PS (kW; hp) @ 6000 from 1978 PS (kW; hp) @ 5800	N·m (lb·ft) @ 4500 from 09/79 N·m (lb·ft) @ 4500
W123.050	1977–1980	280C	2.8L M110 I6	PS (kW; hp) @ 5500	N·m (lb·ft) @ 4000
W123.053	1977–1985	280CE	2.8L M110 I6	PS (kW; hp) @ 6000 from 1978 PS (kW; hp) @ 5800	N·m (lb·ft) @ 4500 from 09/79 N·m (lb·ft) @ 4500
W123.093	1978–1985	280TE	2.8L M110 I6	PS (kW; hp) @ 6000 from 1978 PS (kW; hp) @ 5800	N·m (lb·ft) @ 4500 from 09/79 N·m (lb·ft) @ 4500
W123.130	1976–1985	300D	3.0L OM617 I5 Diesel	PS (kW; hp) @ 4000 from 09/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.132	1977–1985	300D LWB	3.0L OM617 I5 Diesel	PS (kW; hp) @ 4000 from 09/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.133	1981–1985	300D Turbo	3.0L OM617a I5 Diesel	PS (kW; hp) @ 4350	N·m (lb·ft) @ 2400
W123.150	1977–1981	300CD	3.0L OM617 I5 Diesel	PS (kW; hp) @ 4000 from 09/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.153	1981–1985	300CD Turbo	3.0L OM617a I5 Diesel	PS (kW; hp) @ 4350	N·m (lb·ft) @ 2400
W123.190	1978–1985	300TD	3.0L OM617 I5 Diesel	PS (kW; hp) @ 4000 from 09/79 PS (kW; hp) @ 4400	N·m (lb·ft) @ 2400
W123.193	1980–1985	300TD Turbo	3.0L OM617a I5 Diesel	PS (kW; hp) @ 4350	N·m (lb·ft) @ 2400
