Round	Circuit	Location	Date	Pole position	Fastest lap	Winning driver	Winning team	Supporting
1	Sebring International Raceway	Sebring, Florida	March 19	Anders Krohn	Anders Krohn	Tristan Vautier	Andersen Racing	American Le Mans Series
2	Streets of St. Petersburg	St. Petersburg, Florida	March 28	Conor Daly	Conor Daly	Conor Daly	Juncos Racing	IndyCar Series
3	Mazda Raceway Laguna Seca	Monterey, California	May 23	Conor Daly	Connor De Phillippi	Conor Daly	Juncos Racing	American Le Mans Series
4	O'Reilly Raceway Park	Clermont, Indiana	May 29	Mikaël Grenier	Conor Daly	Conor Daly	Juncos Racing	USAC National Midget Series
5	Iowa Speedway	Newton, Iowa	June 19	Conor Daly	Conor Daly	Conor Daly	Juncos Racing	IndyCar Series
6	New Jersey Motorsports Park	Millville, New Jersey	June 26	Conor Daly	Conor Daly	Caio Lara	JDC MotorSports	stand-alone
7	New Jersey Motorsports Park	Millville, New Jersey	June 27	Conor Daly	João Victor Horto	Tristan Vautier	Andersen Racing	stand-alone
8	Autobahn Country Club	Joliet, Illinois	July 31	Mikaël Grenier	Conor Daly	Mikaël Grenier	Andersen Racing	stand-alone
9	Autobahn Country Club	Joliet, Illinois	August 1	Conor Daly	Conor Daly	Conor Daly	Juncos Racing	stand-alone
10	Circuit Trois-Rivières	Trois-Rivières, Québec	August 15	Conor Daly	Alex Ardoin	Alex Ardoin	Team GDT	Continental Tire Sports Car Challenge
11	Road America	Elkhart Lake, Wisconsin	August 21	Conor Daly	Conor Daly	Conor Daly	Juncos Racing	American Le Mans Series
12	Mosport International Raceway	Bowmanville, Ontario	August 28	Conor Daly	Connor De Phillippi	Conor Daly	Juncos Racing	American Le Mans Series
