Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	1986–1987 Club/Team
G	1	Mike Richter	180	84	September 22, 1966	Abington, Pennsylvania	University of Wisconsin
G	30	Chris Terreri	175	70	November 15, 1964	Providence, Rhode Island	Maine Mariners ( AHL )
D	3	Greg Brown	183	86	March 7, 1968	Hartford, Connecticut	Boston College
D	23	Guy Gosselin	180	89	January 6, 1964	Rochester, Minnesota	University of Minnesota-Duluth
D	26	Peter Laviolette	188	90	December 7, 1964	Norwood, Massachusetts	Indianapolis Checkers ( IHL )
D	2	Brian Leetch	185	91	March 3, 1968	Corpus Christi, Texas	Boston College
D	6	Jeff Norton	190	90	November 25, 1965	Arlington, Massachusetts	University of Michigan
D	27	Eric Weinrich	185	93	December 19, 1966	Roanoke, Virginia	University of Maine
LW	21	Tony Granato	178	84	July 25, 1964	Hinsdale, Illinois	University of Wisconsin
LW	19	Lane MacDonald	180	85	March 3, 1966	Tulsa, Oklahoma	Harvard University
LW	32	Kevin Stevens	190	98	April 15, 1965	Brockton, Massachusetts	Boston College
C	20	Allen Bourbeau	175	79	May 17, 1965	Worcester, Massachusetts	Harvard University
C	17	Clark Donatelli	178	85	October 22, 1965	Providence, Rhode Island	Boston University
C	9	Scott Fusco	175	79	January 21, 1963	Woburn, Massachusetts	Harvard University
C	15	Craig Janney	185	89	September 26, 1967	Hartford, Connecticut	Boston College
C	31	Jim Johannson	185	84	March 10, 1964	Rochester, Minnesota	Landsberg EV ( 2.GBun )
C	10	Corey Millen	170	75	March 30, 1964	Duluth, Minnesota	University of Minnesota
RW	28	Steve Leach	180	82	January 16, 1966	Cambridge, Massachusetts	Binghamton Whalers ( AHL )
RW	8	Kevin Miller	178	82	September 2, 1965	Lansing, Michigan	Michigan State University
RW	11	Todd Okerlund	183	94	September 6, 1964	Burnsville, Minnesota	University of Minnesota
RW	22	Dave Snuggerud	188	85	June 20, 1966	Minneapolis, Minnesota	University of Minnesota
RW	14	Scott Young	185	91	October 1, 1967	Worcester, Massachusetts	Boston University
