Pick	Player	Position	Nationality	NHL team	College/junior/club team
79	Ruslan Batyrshin	Defence	Russia	Winnipeg Jets	Dynamo Moscow (Russia)
80	Alexander Osadchy	Defence	Russia	San Jose Sharks	CSKA Moscow (Russia)
81	Marian Kacir	Right Wing	Czech Republic	Tampa Bay Lightning	Owen Sound Platers (OHL)
82	Joel Gagnon	Goaltender	Canada	Mighty Ducks of Anaheim	Oshawa Generals (OHL)
83	Bill McCauley	Centre	United States	Florida Panthers	Detroit Jr. Red Wings (OHL)
84	Trevor Roenick	Right Wing	United States	Hartford Whalers	Boston Jr. Bruins (NEJHL)
85	Adam Wiesel	Defence	United States	Montreal Canadiens	Springfield Olympics (NEJHL)
86	Sergei Olympiyev	Left Wing	Belarus	New York Rangers	HC Dynamo Minsk (Belarus)
87	Chad Lang	Goaltender	Canada	Dallas Stars	Peterborough Petes (OHL)
88	Charles Paquette	Defence	Canada	Boston Bruins	Sherbrooke Faucons (QMJHL)
89	Jamal Mayers	Centre	Canada	St. Louis Blues	Western Michigan University (CCHA)
90	Eric Daze	Left Wing	Canada	Chicago Blackhawks	Beauport Harfangs (QMJHL)
91	Cosmo DuPaul	Centre	Canada	Ottawa Senators	Victoriaville Tigres (QMJHL)
92	Warren Luhning	Right Wing	Canada	New York Islanders	Calgary Royals ( AJHL )
93	Ravil Gusmanov	Right Wing	Russia	Winnipeg Jets	Traktor Chelyabinsk (Russia)
94	Bob Wren	Left Wing	Canada	Los Angeles Kings	Detroit Jr. Red Wings (OHL)
95	Jason Smith	Defence	Canada	Calgary Flames	Princeton University ( ECAC )
96	Marty Murray	Centre	Canada	Calgary Flames	Brandon Wheat Kings (WHL)
97	John Jakopin	Defence	Canada	Detroit Red Wings	St. Michael's Buzzers ( MetJHL )
98	Dieter Kochan	Goaltender	Canada	Vancouver Canucks	Kelowna Spartans ( BCJHL )
99	Jean-Francois Houle	Left Wing	Canada	Montreal Canadiens	Northwood School (HS-New York)
100	Benoit Larose	Defence	Canada	Detroit Red Wings	Laval Titan (QMJHL)
101	Ryan Tocher	Defence	Canada	Quebec Nordiques	Niagara Falls Thunder (OHL)
102	Patrik Pysz	Centre	Poland	Chicago Blackhawks	Augsburg (Germany)
103	Shawn Bates	Centre	United States	Boston Bruins	Medford High School (HS-Massachusetts)
104	Jonas Andersson-Junkka	Defence	Sweden	Pittsburgh Penguins	Kiruna (Sweden)
