Year	Team	Co-Drivers	Class	Pos.	Class Pos.
1984	Martini Racing	Paolo Barilla Hans Heyer	C1	DNF	DNF
1985	Martini Lancia	Henri Pescarolo	C1	7th	7th
1986	Liqui Moly Equipe	Price Cobb Rob Dyson	C1	9th	7th
1988	Team Sauber Mercedes	James Weaver Jochen Mass	C1	DNS	DNS
1989	Team Sauber Mercedes	Kenny Acheson Gianfranco Brancatelli	C1	2nd	2nd
1991	Peugeot Talbot Sport	Philippe Alliot Jean-Pierre Jabouille	C1	DNF	DNF
1992	Peugeot Talbot Sport	Philippe Alliot Jean-Pierre Jabouille	C1	3rd	3rd
1993	Peugeot Talbot Sport	Philippe Alliot Jean-Pierre Jabouille	C1	3rd	3rd
1994	Le Mans Porsche Team Joest Racing	Yannick Dalmas Hurley Haywood	GT1	1st	1st
1997	Konrad Motorsport	Franz Konrad Robert Nearn	GT1	DNF	DNF
1998	Moretti Racing	Gianpiero Moretti Didier Theys	LMP1	14th	3rd
1999	JB Racing	Jérôme Policand Christian Pescatori	LMP	DNF	DNF
2000	Team Den Blå Avis	John Nielsen Klaus Graf	LMP900	NC	NC
