Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	November 6, 1982	Hong Kong	Clay	Laura Du Pont	Jennifer Mundel Yvonne Vermaak	6-2, 4-6, 7-5
Runner-up	March 6, 1983	Nashville , Tennessee, USA	Hard	Paula Smith	Rosalyn Fairbank Candy Reynolds	4-6, 6-7
Winner	May 1, 1983	Atlanta , Georgia, USA	Hard	Sharon Walsh	Rosie Casals Wendy Turnbull	6-3, 7-6
Runner-up	June 13, 1983	Birmingham , England	Grass	Elise Burgin	Beverly Mould Liz Smylie	3-6, 4-6
Runner-up	January 15, 1984	Oakland , California, USA	Carpet	Rosie Casals	Martina Navratilova Pam Shriver	2-6, 3-6
Winner	October 28, 1984	Brighton , England	Carpet	Paula Smith	Barbara Potter Sharon Walsh	6-7, 6-3, 7-5
Runner-up	June 16, 1985	Birmingham , England	Grass	Elise Burgin	Terry Holladay Sharon Walsh	4-6, 7-5, 3-6
Runner-up	April 30, 1986	Phoenix, Arizona , USA	Hard	Linda Gates	Susan Mascarin Betsy Nagelsen	3-6, 7-5, 4-6
Winner	July 28, 1986	Berkeley , California, USA	Hard	Beth Herr	Amy Holton Elna Reinach	6-1, 6-2
Winner	August 3, 1986	San Diego , California, USA	Hard	Beth Herr	Elise Burgin Rosalyn Fairbank	5-7, 6-2, 6-4
Runner-up	October 12, 1986	Zurich , Switzerland	Carpet	Lori McNeil	Steffi Graf Gabriela Sabatini	6-1, 4-6, 4-6
