Club	City	Stadium	Capacity	2011–12 season
AndriaBAT	Andria	Degli Ulivi	9,140	12th in Lega Pro Prima Divisione B
Avellino	Avellino	Partenio-Lombardi	7,450	5th in Lega Pro Prima Divisione A
Barletta	Barletta	Cosimo Puttilli	4,018	6th in Lega Pro Prima Divisione B
Benevento	Benevento	Ciro Vigorito	12,847	6th in Lega Pro Prima Divisione A
Carrarese	Carrara	dei Marmi	9,500	8th in Lega Pro Prima Divisione B
Catanzaro	Catanzaro	Nicola Ceravolo	14,650	2nd in Lega Pro Seconda Divisione B
Frosinone	Frosinone	Matusa	9,680	9th in Lega Pro Prima Divisione B
Gubbio	Gubbio	Pietro Barbetti	5,300	21st in Serie B
Latina	Latina	Domenico Francioni	6,850	16th in Lega Pro Prima Divisione B
Nocerina	Nocera Inferiore	San Francesco	7,632	20th in Serie B
Paganese	Pagani	Marcello Torre	5,900	6th in Lega Pro Seconda Divisione B
Perugia	Perugia	Renato Curi	28,000	1st in Lega Pro Seconda Divisione B
Pisa	Pisa	Arena Garibaldi	14,869	7th in Lega Pro Prima Divisione A
Prato	Prato	Lungobisenzio	6,750	14th in Lega Pro Prima Divisione B
Sorrento	Sorrento (playing in Cava de' Tirreni )	Simonetta Lamberti	5,200	4th in Lega Pro Prima Divisione A
Viareggio	Viareggio	Torquato Bresciani	7,000	14th in Lega Pro Prima Divisione A
