Country	Currency	1 Euro =	1 USD =	Central bank
Argentina	Argentine peso (ARS)	5.72079	4.34950	Central Bank of Argentina
Bolivia	Bolivian boliviano (BOB)	9.02081	6.86000	Central Bank of Bolivia
Brazil	Brazilian real (BRL)	2.25592	1.71577	Central Bank of Brazil
Chile	Chilean peso (CLP)	635.134	483.050	Central Bank of Chile
Colombia	Colombian peso (COP)	2,353.40	1,790.00	Bank of the Republic
Ecuador	U.S. dollar (USD)	1.46611	1	Federal Reserve
Guyana	Guyanese dollar (GYD)	264.192	200.950	Bank of Guyana
Paraguay	Paraguayan guaraní (PYG)	4,500.00	5,916.27	Central Bank of Paraguay
Peru	Peruvian nuevo sol (PEN)	3.53004	2.68500	Central Reserve Bank of Peru
Suriname	Surinamese dollar (SRD)	4.27296	3.25000	Central Bank of Suriname
Uruguay	Uruguayan peso (UYU)	25.3797	19.3000	Central Bank of Uruguay
