Week	Date	Opponent	Result	Attendance
1	September 10, 1961	at Dallas Texans	W 26–10	24,500
2	September 17, 1961	Oakland Raiders	W 44–0	20,216
3	September 24, 1961	Houston Oilers	W 34–24	29,210
4	September 30, 1961	at Buffalo Bills	W 19–11	20,742
5	October 7, 1961	at Boston Patriots	W 38–27	17,748
6	October 15, 1961	at New York Titans	W 25–10	12,014
7	October 22, 1961	at Oakland Raiders	W 41–10	12,014
8	October 29, 1961	Denver Broncos	W 37–0	32,584
9	November 5, 1961	New York Titans	W 48–13	33,391
10	November 12, 1961	at Denver Broncos	W 19–16	7,859
11	November 19, 1961	Dallas Texans	W 24–14	33,788
12	December 3, 1961	at Houston Oilers	L 33–13	37,845
13	December 10, 1961	Buffalo Bills	W 28–10	24,486
14	December 17, 1961	Boston Patriots	L 41–0	21,339
