-	ADM 389	CSAPC 390	CDC 391	CDUP 392	SY 393	Ishtar 394	JJ 395	Total
Anbar	494	137	87	83	68	61	7	937
Babil	201	481	610	96	162	58	74	1682
Baghdad	6663	3440	812	611	532	723	252	13033
Basra	326	488	1295	247	243	103	50	2752
Diyala	101	119	67	795	189	81	22	1374
Dohuk	7152	3631	315	847	250	402	74	12671
Erbil	1871	2323	594	289	117	232	41	5467
Karbala	97	75	245	484	97	46	44	1088
Kirkuk	2115	525	455	124	91	159	59	3528
Missan	118	72	63	150	224	40	59	726
Muthanna	123	240	70	121	54	36	30	674
Najaf	126	54	82	200	367	65	27	921
Nineveh	7667	8858	1069	699	297	736	3694	23020
Qadissiya	117	64	104	320	384	91	61	1141
Salahadin	145	449	138	95	53	67	22	969
Sulaymani	294	88	42	205	112	41	43	825
Thiqar	373	606	90	137	137	46	31	1420
Wasit	112	232	470	44	91	90	48	1087
Total	28095	21882	6608	5547	3468	3077	4638	73315
