Cyclist	Nation	Team	Time	UCI ProTour Points
Christophe Moreau	France	AG2R Prévoyance	29h 50' 35"	50
Cadel Evans	Australia	Predictor-Lotto	+ 14"	40
Andrey Kashechkin	Kazakhstan	Astana	+ 1' 27"	35
Denis Menchov	Russia	Rabobank	+ 1' 52"	30
David Zabriskie	United States	Team CSC	+ 2' 16"	25
Alberto Contador	Spain	Discovery Channel	+ 4' 24"	20
Mikel Astarloza	Spain	EUS	+ 5' 00"	15
Manuel Beltrán	Spain	Liquigas	+ 5' 01"	10
Tadej Valjavec	Slovenia	Lampre-Fondital	+ 5' 17"	5
Sylvain Chavanel	France	Cofidis	+ 5' 38"	2
