Tie no	Home team	Score	Away team	Date
1	Darlington	0–0	Chester	22 November 1975
Replay	Chester	2–0	Darlington	26 November 1975
2	Dartford	1–4	Bishop's Stortford	22 November 1975
3	Hartlepool	3–0	Stockport County	22 November 1975
4	Bury	4–2	Doncaster Rovers	22 November 1975
5	Grantham	2–2	Port Vale	22 November 1975
Replay	Port Vale	4–1	Grantham	24 November 1975
6	Preston North End	2–1	Scunthorpe United	22 November 1975
7	Sutton United	1–1	Bournemouth	22 November 1975
Replay	Bournemouth	1–0	Sutton United	26 November 1975
8	Watford	0–3	Brighton & Hove Albion	22 November 1975
9	Weymouth	0–2	Gillingham	22 November 1975
10	Yeovil Town	1–1	Millwall	22 November 1975
Replay	Millwall	2–2	Yeovil Town	25 November 1975
Replay	Yeovil Town	0–1	Millwall	3 December 1975
11	Marine	3–1	Barnsley	22 November 1975
12	Walsall	0–1	Huddersfield Town	22 November 1975
13	Sheffield Wednesday	3–1	Macclesfield Town	22 November 1975
14	Grimsby Town	1–3	Gateshead United	22 November 1975
15	Scarborough	2–0	Morecambe	22 November 1975
16	Wycombe Wanderers	0–0	Bedford Town	22 November 1975
Replay	Bedford Town	2–2	Wycombe Wanderers	24 November 1975
Replay	Wycombe Wanderers	2–1	Bedford Town	1 December 1975
17	Brentford	2–0	Northampton Town	22 November 1975
18	Rossendale United	0–1	Shrewsbury Town	22 November 1975
19	Bradford City	1–0	Chesterfield	22 November 1975
20	Crystal Palace	1–0	Walton & Hersham	22 November 1975
21	Spennymoor United	4–1	Southport	22 November 1975
22	Southend United	2–0	Swansea City	22 November 1975
23	Mansfield Town	1–1	Wrexham	22 November 1975
Replay	Wrexham	1–1	Mansfield Town	24 November 1975
Replay	Mansfield Town	2–1	Wrexham	8 December 1975
24	Cardiff City	6–2	Exeter City	22 November 1975
25	Halifax Town	3–1	Altrincham	22 November 1975
26	Newport County	2–2	Swindon Town	22 November 1975
Replay	Swindon Town	3–0	Newport County	25 November 1975
27	Workington	1–1	Rochdale	22 November 1975
Replay	Rochdale	2–1	Workington	25 November 1975
28	Hereford United	2–0	Torquay United	22 November 1975
29	Rotherham United	2–1	Crewe Alexandra	22 November 1975
30	Aldershot	4–3	Wealdstone	22 November 1975
31	Romford	0–1	Tooting & Mitcham United	22 November 1975
32	Wigan Athletic	4–1	Matlock Town	22 November 1975
33	Boston United	0–1	Lincoln City	22 November 1975
34	Peterborough United	4–1	Winsford United	22 November 1975
35	Colchester United	3–3	Dover	22 November 1975
Replay	Dover	4–1	Colchester United	26 November 1975
36	Nuneaton Borough	0–1	Wimbledon	22 November 1975
37	Hendon	1–0	Reading	22 November 1975
38	Leatherhead	2–0	Cambridge United	22 November 1975
39	AP Leamington	2–3	Stafford Rangers	22 November 1975
40	Coventry Sporting	2–0	Tranmere Rovers	22 November 1975
