Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
52	February 3	@ New Jersey	L 85–99 (OT)	Richard Jefferson (27)	Dan Gadzuric (9)	Izod Center 10,102	24–28
53	February 7	Detroit	L 121–126 (OT)	Ramon Sessions (44)	Francisco Elson (8)	Bradley Center 17,297	24–29
54	February 9	Houston	W 124–112 (OT)	Ramon Sessions (26)	Charlie Villanueva (8)	Bradley Center 13,904	25–29
55	February 11	Indiana	W 122–110 (OT)	Richard Jefferson (32)	Luc Mbah a Moute (11)	Bradley Center 13,486	26–29
56	February 17	@ Detroit	W 92–86 (OT)	Richard Jefferson (29)	Ramon Sessions (9)	The Palace of Auburn Hills 20,217	27–29
57	February 18	Chicago	L 104–113 (OT)	Richard Jefferson (32)	Charlie Villanueva (12)	Bradley Center 15,309	27–30
58	February 20	Cleveland	L 103–111 (OT)	Charlie Villanueva (26)	Charlie Villanueva (13)	Bradley Center 18,076	27–31
59	February 22	Denver	W 120–117 (OT)	Charlie Villanueva (36)	Francisco Elson (7)	Bradley Center 14,891	28–31
60	February 25	@ Dallas	L 96–116 (OT)	Charlie Villanueva (25)	Charlie Villanueva (7)	American Airlines Center 19,558	28–32
61	February 27	@ New Orleans	L 94–95 (OT)	Richard Jefferson (22)	Charlie Villanueva (7)	New Orleans Arena 17,621	28–33
62	February 28	Washington	W 109–93 (OT)	Charlie Villanueva (25)	Dan Gadzuric (11)	Bradley Center 15,970	29–33
