Rank	Nation	Gold	Silver	Bronze	Total
1	Hungary	6	5	1	12
2	Germany	5	5	2	12
3	Belarus	3	3	1	7
4	Canada	3	1	2	6
5	Romania	3	1	0	4
6	Russia	2	2	6	10
7	France	2	2	1	5
8	Spain	1	3	0	4
9	Great Britain	1	2	3	6
10	Ukraine	1	2	1	4
11	Austria	1	0	1	2
12	Sweden	1	0	1	2
13	Uzbekistan	1	0	1	2
14	Australia	1	0	0	1
15	Lithuania	1	0	0	1
16	Tahiti	1	0	0	1
17	Italy	0	1	4	5
18	Poland	0	1	4	5
19	Brazil	2	1	0	3
20	Slovakia	0	1	2	3
21	China	0	2	0	2
22	Azerbaijan	0	1	0	1
23	Portugal	0	1	0	1
24	United States	0	1	0	1
25	Finland	0	0	2	2
26	Czech Republic	0	0	1	1
27	Japan	0	0	1	1
28	New Zealand	0	0	1	1
29	Serbia	0	0	1	1
Total	Total	36	36	37	109
