Media market name	Callsign	Analog	Digital	Affiliation
American Cable Channel 75 Million Homes	WGN America	Varies	NA	Independent
Digital Television Networks	Antenna TV/THIS TV	Digital/Cable	NA	shows/movies
New York, New York	WPIX	11	33	CW
Los Angeles, California	KTLA	5	31	CW
Chicago, Illinois	WGN-TV	9	19	CW
Philadelphia, Pennsylvania	WPHL-TV	17	54	MyNetworkTV
Dallas / Fort Worth, Texas	KDAF	33	32	CW
Washington, D.C.	WDCW	50	51	CW
Houston,Texas	KIAH	39	38	CW
Tacoma / Seattle, Washington	KCPQ	13	18	Fox
Tacoma / Seattle, Washington	KZJO	22	25	MyNetworkTV
Miami / Fort Lauderdale, Florida	WSFL-TV	39	19	CW
Cleveland, Ohio	WJW	8	31	Fox
Denver, Colorado	KWGN	2	19	CW
Denver, Colorado	KDVR	31	32	Fox
Denver, Colorado	KFCT (satellite of KDVR)	22	21	Fox
Sacramento - Stockton - Modesto	KTXL	40	55	Fox
St. Louis, Missouri	KPLR	11	26	CW
St. Louis, Missouri	KTVI	2	43	Fox
Portland, Oregon	KRCW	32	33	CW
Bloomington, Indiana	WTTV	4	29	CW
Kokomo, Indiana	WTTK 29 (satellite of WTTV)	48	54	CW
Indianapolis, Indiana	WXIN	59	45	Fox
San Diego, California	KSWB	69	19	CW
Hartford / New Haven, Connecticut	WTIC	61	31	Fox
Waterbury - Hartford - New Haven, Connecticut	WCCT-TV	20	12	CW
Kansas City, Missouri	WDAF-TV	4	34	Fox
Milwaukee, Wisconsin	WITI	6	33	Fox
Salt Lake City, Utah	KSTU	13	28	Fox
York - Harrisburg - Lancaster - Lebanon, PA	WPMT	43	47	Fox
Norfolk, Virginia	WTKR	3	40	CBS
Norfolk, Virginia	WGNT	27	50	CW
Grand Rapids - Battle Creek - Kalamazoo, MI	WXMI	17	19	Fox
Oklahoma City, Oklahoma	KFOR-TV	4	27	NBC
Oklahoma City, Oklahoma	KAUT-TV	43	40	MyNetworkTV
High Point, North Carolina	WGHP	8	35	Fox
Memphis, Tennessee	WREG-TV	3	28	CBS
New Orleans, Louisiana	WGNO	26	15	ABC
New Orleans, Louisiana	WNOL	38	15	CW
Scranton - Wilkes-Barre, Pennsylvania	WNEP-TV	16	49	ABC
Richmond, Virginia	WTVR-TV	6	25	CBS
Des Moines, Iowa	WHO-TV	13	19	NBC
Huntsville, Alabama	WHNT-TV	19	59	CBS
Moline, Illinois	WQAD-TV	8	38	ABC
Fort Smith, Arkansas	KFSM-TV	5	18	CBS
