Year	Population (Region total)	Population (Caloundra)	Population (Maroochy)	Population (Noosa)
1933	23,438	4,752	12,918	5,768
1947	27,399	6,460	15,014	5,925
1954	31,930	7,765	17,869	6,296
1961	33,507	8,319	19,071	6,117
1966	36,926	8,798	21,455	6,673
1971	44,582	11,314	25,522	7,746
1976	63,073	16,982	35,266	10,825
1981	100,204	29,705	53,428	17,071
1986	118,443	36,486	61,629	20,328
1991	167,254	53,434	84,442	29,378
1996	219,305	66,336	111,798	41,171
2001	252,011	75,261	129,429	47,321
2006	293,902	90,341	151,599	51,962
