Pick	Player	Team	Position	Hometown/School
27	Mike Zimmerman	Pittsburgh Pirates	RHP	University of South Alabama
28	Gabe White	Montreal Expos	RHP	Sebring, Florida
29	Midre Cummings	Minnesota Twins	OF	Miami, Florida
30	Paul Ellis	St. Louis Cardinals	C	University of California, Los Angeles
31	Brian Williams	Houston Astros	RHP	University of South Carolina
32	Scott Sanders	San Diego Padres	RHP	Nicholls State University
33	Marcus Jensen	San Francisco Giants	C	Oakland, California
34	Dave Zancanaro	Oakland Athletics	LHP	University of California, Los Angeles
35	Stan Spencer	Montreal Expos	RHP	Stanford University
36	Kirk Dressendorfer	Oakland Athletics	RHP	University of Texas at Austin
37	Ben Van Ryn	Montreal Expos	LHP	Kendallville, Indiana
38	Tony Manahan	Seattle Mariners	SS	Arizona State University
39	Samuel Hence	Cleveland Indians	OF	Wiggins, Mississippi
40	Stan Robertson	Montreal Expos	OF	Plainview, Texas
