Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 7	Glen Campbell-Los Angeles Open	California	Rod Funseth (2)	276 (–8)	27,000
Jan 14	Phoenix Open	Arizona	Bruce Crampton (10)	268 (–12)	30,000
Jan 21	Dean Martin Tucson Open	Arizona	Bruce Crampton (11)	277 (–11)	30,000
Jan 28	Bing Crosby National Pro-Am	California	Jack Nicklaus (46)	282 (–6)	36,000
Feb 4	Hawaiian Open	Hawaii	John Schlee (1)	273 (–15)	40,000
Feb 11	Bob Hope Desert Classic	California	Arnold Palmer (62)	343 (–17)	32,000
Feb 18	Andy Williams-San Diego Open Invitational	California	Bob Dickson (2)	278 (–10)	34,000
Feb 25	Jackie Gleason Inverrary-National Airlines Classic	Florida	Lee Trevino (16)	279 (–9)	52,000
Mar 4	Florida Citrus Open	Florida	Bud Allin (2)	265 (–23)	30,000
Mar 11	Doral-Eastern Open	Florida	Lee Trevino (17)	276 (–12)	30,000
Mar 18	Greater Jacksonville Open	Florida	Jim Colbert (3)	279 (–9)	26,000
Mar 25	Greater New Orleans Open	Louisiana	Jack Nicklaus (47)	280 (–8)	25,000
Apr 2	Greater Greensboro Open	North Carolina	Chi Chi Rodriguez (7)	267 (–17)	42,000
Apr 8	Masters Tournament	Georgia	Tommy Aaron (3)	283 (–5)	30,000
Apr 15	Monsanto Open	Florida	Homero Blancas (4)	277 (–11)	30,000
Apr 22	Tallahassee Open	Florida	Hubert Green (2)	277 (–11)	15,000
Apr 22	Tournament of Champions	California	Jack Nicklaus (48)	276 (–12)	40,000
Apr 29	Byron Nelson Golf Classic	Texas	Lanny Wadkins (2)	277 (–3)	30,000
May 6	Houston Open	Texas	Bruce Crampton (12)	277 (–11)	41,000
May 13	Colonial National Invitation	Texas	Tom Weiskopf (6)	276 (–4)	30,000
May 20	Danny Thomas Memphis Classic	Tennessee	Dave Hill (10)	283 (–5)	35,000
May 27	Atlanta Classic	Georgia	Jack Nicklaus (49)	272 (–16)	30,000
Jun 3	Kemper Open	North Carolina	Tom Weiskopf (7)	271 (–17)	40,000
Jun 10	IVB-Philadelphia Golf Classic	Pennsylvania	Tom Weiskopf (8)	274 (–14)	30,045
Jun 17	U.S. Open	Pennsylvania	Johnny Miller (3)	279 (–5)	35,000
Jun 24	American Golf Classic	Ohio	Bruce Crampton (13)	273 (–7)	32,000
Jul 1	Western Open	Illinois	Billy Casper (49)	272 (–12)	35,000
Jul 8	Greater Milwaukee Open	Wisconsin	Dave Stockton (6)	276 (–12)	26,000
Jul 14	British Open	Scotland	Tom Weiskopf (9)	276 (–12)	14,300
Jul 15	Shrine-Robinson Open Golf Classic	Illinois	Deane Beman (4)	271 (–13)	25,000
Jul 22	St. Louis Children's Hospital Golf Classic	Missouri	Gene Littler (25)	268 (–12)	42,000
Jul 29	Canadian Open	Canada	Tom Weiskopf (10)	278 (–10)	35,000
Aug 5	Westchester Classic	New York	Bobby Nichols (9)	272 (–16)	50,000
Aug 12	PGA Championship	Ohio	Jack Nicklaus (50)	277 (–7)	45,000
Aug 19	USI Classic	Massachusetts	Lanny Wadkins (3)	279 (–9)	40,000
Aug 26	Liggett & Myers Open	North Carolina	Bert Greene (1)	278 (–6)	20,000
Aug 26	U.S. Professional Match Play Championship	North Carolina	John Schroeder (1)	2 up	40,000
Sep 3	Sammy Davis Jr.-Greater Hartford Open	Connecticut	Billy Casper (50)	264 (–20)	40,000
Sep 9	Southern Open	Georgia	Gary Player (18)	270 (–10)	20,030
Sep 16	Sea Pines Heritage Classic	South Carolina	Hale Irwin (2)	272 (–12)	30,000
Sep 23	B.C. Open	New York	Hubert Green (3)	266 (–18)	20,000
Sep 30	Quad Cities Open	Iowa	Sam Adams (1)	268 (–16)	20,000
Oct 7	Ohio Kings Island Open	Ohio	Jack Nicklaus (51)	271 (–13)	25,000
Oct 21	Kaiser International Open Invitational	California	Ed Sneed (1)	275 (–13)	30,092
Oct 28	Sahara Invitational	Nevada	John Mahaffey (1)	271 (–13)	27,000
Nov 4	San Antonio Texas Open	Texas	Ben Crenshaw (1)	270 (–14)	25,000
Nov 17	World Open Golf Championship	North Carolina	Miller Barber (8)	570 (+2)	100,000
Dec 1	Walt Disney World Golf Classic	Florida	Jack Nicklaus (52)	275 (–13)	30,000
