Date	Competition	Ground	Score	Attendance	Report
19 Sep 2000	1. HNL	Poljud	0–1	17,000	SD.hr
3 Dec 2000	1. HNL	Maksimir	3–2	15,000	SD.hr
14 Apr 2001	1. HNL	Poljud	3–1	32,000	SD.hr
9 May 2001	Cup	Poljud	0–2	30,000	SD.hr
13 May 2001	1. HNL	Maksimir	1–0	25,000	SD.hr
23 May 2001	Cup	Maksimir	1–0	13,000	SD.hr
14 Oct 2001	1. HNL	Maksimir	1–2	15,000	SD.hr
7 Apr 2002	1. HNL	Poljud	2–1	20,000	SD.hr
1 Sep 2002	1. HNL	Poljud	1–0	35,000	SD.hr
1 Dec 2002	1. HNL	Maksimir	2–1	18,000	SD.hr
13 Apr 2003	1. HNL	Maksimir	0–1	20,000	SD.hr
11 May 2003	1. HNL	Poljud	4–1	22,000	SD.hr
20 Jul 2003	Supercup	Maksimir	4–1	7,000	SD.hr
31 Aug 2003	1. HNL	Maksimir	1–0	8,000	SD.hr
6 Dec 2003	1. HNL	Poljud	3–1	15,000	SD.hr
3 Apr 2004	1. HNL	Poljud	0–0	25,000	SD.hr
1 May 2004	1. HNL	Maksimir	3–1	20,000	SD.hr
17 Jul 2004	Supercup	Poljud	1–0	17,000	Sportnet.hr
11 Sep 2004	1. HNL	Maksimir	3–0	15,000	Sportnet.hr
5 Dec 2004	1. HNL	Poljud	1–0	25,000	Sportnet.hr
11 Sep 2005	1. HNL	Maksimir	0–0	35,000	Sportnet.hr
12 Feb 2006	1. HNL	Poljud	0–1	20,000	Sportnet.hr
15 Apr 2006	1. HNL	Poljud	1–0	10,000	Sportnet.hr
13 May 2006	1. HNL	Maksimir	1–0	30,000	Sportnet.hr
1 Oct 2006	1. HNL	Poljud	2–2	35,000	Sportnet.hr
24 Feb 2007	1. HNL	Maksimir	2–1	30,000	Sportnet.hr
14 Mar 2007	Cup	Maksimir	1–0	15,000	Sportnet.hr
4 Apr 2007	Cup	Poljud	2–2	25,000	Sportnet.hr
19 May 2007	1. HNL	Maksimir	3–0	35,000	Sportnet.hr
7 Oct 2007	1. HNL	Poljud	1–2	18,000	Sportnet.hr
8 Mar 2008	1. HNL	Maksimir	1–0	13,500	Sportnet.hr
3 May 2008	1. HNL	Poljud	1–1	10,000	Sportnet.hr
7 May 2008	Cup	Maksimir	3–0	15,000	Sportnet.hr
14 May 2008	Cup	Poljud	0–0	6,000	Sportnet.hr
21 Sep 2008	1. HNL	Maksimir	0–2	8,000	Sportnet.hr
22 Feb 2009	1. HNL	Poljud	2–0	38,000	Sportnet.hr
13 May 2009	Cup	Maksimir	3–0	20,000	Sportnet.hr
28 May 2009	Cup	Poljud	3–0	18,000	Sportnet.hr
31 May 2009	1. HNL	Poljud	2–2	10,000	Sportnet.hr
31 Oct 2009	1. HNL	Poljud	2–1	4,000	Sportnet.hr
24 Mar 2010	Cup	Maksimir	0–0	13,000	Sportnet.hr
7 Apr 2010	Cup	Poljud	1–0	30,000	Sportnet.hr
1 May 2010	1. HNL	Maksimir	0–0	13,000	Sportnet.hr
