Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Caledonia	Traill	111	29.539	0.000	47.454423	-96.911195	3809711540	01036689
Callahan	Renville	28	31.521	4.136	48.586092	-101.658319	3807511620	01759600
Cameron	Ward	33	34.597	0.926	47.897422	-101.538371	3810111740	01036956
Campbell	Emmons	65	34.824	1.920	46.596112	-99.989252	3802911780	01037064
Campbell	Hettinger	29	35.131	0.021	46.582196	-102.350268	3804111820	01759449
Cando	Towner	81	35.124	0.404	48.511829	-99.156026	3809511900	02397779
Canfield	Burleigh	11	35.506	0.435	47.179850	-100.398544	3801511940	01037143
Cannon Ball	Hettinger	45	35.990	0.000	46.326983	-102.109898	3804111980	01759450
Captain's Landing	Morton	120	0.314	0.119	46.813784	-100.830487	3805912080	01759547
Carbondale	Ward	47	35.507	0.013	48.500813	-101.910874	3810112100	01033987
Carlisle	Pembina	100	71.662	0.000	48.804129	-97.359806	3806712180	01036724
Carpenter	Steele	51	35.021	0.000	47.282384	-97.770542	3809112220	01036661
Carpio	Ward	68	35.751	0.000	48.415611	-101.778440	3810112300	01036945
Carrington	Foster	205	34.043	0.339	47.464541	-99.063994	3803112380	02397780
Carroll	Slope	10	35.994	0.000	46.411232	-102.988525	3808712420	01759639
Carter	Burke	13	35.117	0.802	48.856110	-102.340216	3801312500	01759317
Casey	Ransom	90	36.293	0.031	46.492998	-97.605198	3807312580	01036870
Cash	Slope	33	35.691	0.338	46.316272	-103.495329	3808712620	01037259
Casselton	Cass	78	33.869	0.000	46.935775	-97.242189	3801712740	01036375
Castle Rock	Hettinger	49	35.920	0.015	46.320235	-102.370512	3804112780	01759451
Cathay	Wells	56	35.645	0.098	47.540251	-99.459981	3810312860	02397782
Cato	Ramsey	17	35.640	0.518	48.321505	-98.608770	3807112900	01759566
Cavalier	Pembina	588	70.733	0.058	48.844563	-97.656753	3806712980	01036728
Cecil	Bottineau	16	35.252	0.156	48.667941	-100.221920	3800913060	01759269
Cedar	Adams	24	31.646	0.007	46.240608	-102.675823	3800113100	01037235
Cedar Creek	Slope	25	35.743	0.283	46.331604	-102.977577	3808713140	01759640
Center	Richland	465	44.416	0.000	46.236799	-96.682765	3807713220	01036826
Central	Nelson	29	34.825	1.173	47.896711	-98.204952	3806313260	01036570
Chain Lakes	Ramsey	12	25.655	11.123	48.350443	-99.131819	3807113380	01759567
Champion	Williams	16	35.869	0.120	48.410210	-103.222457	3810513460	01037032
Chandler	Adams	13	36.008	0.017	46.169489	-102.424599	3800113500	01037218
Charbon	McKenzie	35	35.777	0.061	47.892307	-103.728474	3805313540	01036971
Chaseley	Wells	38	35.156	0.815	47.464888	-99.830606	3810313740	01037183
Chatfield	Bottineau	44	35.882	0.059	48.588175	-101.121397	3800913780	01759270
Cherry Lake	Eddy	33	33.381	1.564	47.643166	-98.716308	3802713820	01759400
Chester	Grand Forks	122	36.152	0.000	47.889474	-97.430288	3803513860	01036607
Chestina	Kidder	25	35.727	0.257	47.031837	-100.029623	3804313900	01037254
Chicago	Stutsman	47	33.735	1.866	46.850885	-99.265662	3809313940	01036464
Chilton	Hettinger	34	36.196	0.042	46.331503	-102.495287	3804113980	01759452
Christiania	Burleigh	37	35.966	0.038	46.952550	-100.255074	3801514060	01759335
Clara	Nelson	21	34.634	1.393	48.144429	-98.357281	3806314180	01036583
Clark	Hettinger	31	35.508	0.016	46.585077	-102.730707	3804114220	01759453
Clay	Renville	39	35.861	0.052	48.678600	-101.514193	3807514260	01759601
Clayton	Burke	34	35.436	0.627	48.758149	-102.488825	3801314300	01037104
Clear Lake	Burleigh	36	35.906	0.195	46.944990	-100.130261	3801514380	01759336
Clear Lake	Kidder	37	34.510	1.036	47.111630	-99.904565	3804314420	01759468
Clearfield	Griggs	44	35.357	0.634	47.449530	-98.297626	3803914340	01036644
Clearwater	Mountrail	56	35.467	0.584	48.418137	-102.302775	3806114460	01037118
Cleary	Burke	37	35.296	0.677	48.685446	-102.669424	3801314500	01037098
Clement	Dickey	109	45.275	0.389	46.160869	-98.183598	3802114540	01036766
Clermont	Adams	35	35.887	0.039	45.989318	-102.436110	3800114620	01037213
Cleveland	Walsh	76	35.746	0.218	48.232226	-97.957111	3809914700	01036521
Clifton	Cass	75	35.140	0.222	46.753005	-97.629402	3801714780	01036370
Climax	Williams	11	32.873	0.030	48.501299	-103.985558	3810514860	01759725
Clinton	Divide	13	35.435	0.612	48.844449	-103.784244	3802314900	01036932
Coalfield	Divide	34	35.401	0.248	48.843465	-103.000181	3802315020	01759388
Coburn	Ransom	61	35.819	0.011	46.579580	-97.353186	3807315060	01036879
Colfax	Richland	241	59.112	0.000	46.500329	-96.926322	3807715220	01036848
Colgate	Steele	93	35.395	0.000	47.282200	-97.642311	3809115340	01036659
Colquhoun	Renville	63	43.170	0.009	48.944346	-101.704670	3807515380	01759602
Columbia	Eddy	34	34.934	0.125	47.623770	-98.809567	3802715420	01759401
Colville	Burke	65	33.259	1.365	48.591025	-102.693028	3801315500	01037097
Colvin	Eddy	60	35.526	0.556	47.715317	-98.601342	3802715540	01759402
Conklin	Stutsman	12	34.299	1.577	47.293550	-99.299185	3809315700	01037139
Connor	Slope	30	35.822	0.067	46.411545	-103.232889	3808715740	01759641
Coolin	Towner	39	35.869	0.175	48.413995	-99.025133	3809515860	01759649
Cooperstown	Griggs	56	35.450	0.304	47.459753	-98.180982	3803915940	01036643
Cordelia	Bottineau	96	34.601	1.146	48.851724	-100.238682	3800915980	01759271
Corinne	Stutsman	42	35.493	0.092	47.276592	-98.520416	3809316020	01036507
Cornell	Cass	59	36.104	0.000	47.021877	-97.642303	3801716100	01036391
Corwin	Stutsman	100	36.029	0.004	46.747140	-98.638320	3809316140	01036453
Cottonwood	Mountrail	32	33.669	2.318	48.427789	-102.527219	3806116220	01037101
