Game	December	Opponent	Score	Record
27	1	Pittsburgh Penguins	2 - 1	17-7-3
28	3	@ Washington Capitals	5 - 1	17-8-3
29	5	Minnesota Wild	3 - 1	18-8-3
30	7	@ Chicago Blackhawks	2 - 1 OT	18-8-4
31	8	@ Nashville Predators	5 - 1	19-8-4
32	10	@ St. Louis Blues	5 - 4 OT	20-8-4
33	13	Vancouver Canucks	3 - 2	20-9-4
34	18	Colorado Avalanche	2 - 1	20-10-4
35	20	New Jersey Devils	3 - 1	20-11-4
36	22	Tampa Bay Lightning	4 - 2	21-11-4
37	26	@ Ottawa Senators	6 - 2	21-12-4
38	28	@ New York Islanders	6 - 2	22-12-4
39	31	@ Pittsburgh Penguins	4 - 3 OT	22-12-5
