Week	Date	Opponent	Result	Attendance
1	September 15, 1963	at Baltimore Colts	W 37-28	60,029
2	September 22, 1963	at Pittsburgh Steelers	L 31-0	46,068
3	September 29, 1963	at Philadelphia Eagles	W 37-14	60,671
4	October 6, 1963	at Washington Redskins	W 24-14	49,419
5	October 13, 1963	Cleveland Browns	L 35-24	62,956
6	October 20, 1963	Dallas Cowboys	W 37-21	62,889
7	October 27, 1963	at Cleveland Browns	W 33-6	84,213
8	November 3, 1963	St. Louis Cardinals	W 38-21	29,482
9	November 10, 1963	Philadelphia Eagles	W 42-14	62,936
10	November 17, 1963	San Francisco 49ers	W 48-14	62,982
11	November 24, 1963	St. Louis Cardinals	L 24-17	62,992
12	December 1, 1963	at Dallas Cowboys	W 34-27	29,653
13	December 8, 1963	Washington Redskins	W 44-14	62,992
14	December 15, 1963	Pittsburgh Steelers	W 33-17	63,240
