Year	Game	Team	Runner-up	Score
2012	Capital Bowl XXII	Hutt Valley Spartans	Wellington City Wolves	24-6
2011	Capital Bowl XXI	Hutt Valley Spartans	Wellington City Wolves	34-8
2010	Capital Bowl XX	Porirua Knights	Hutt Valley Spartans	28-8
2009	Capital Bowl XIX	Wellington City Wolves	Hutt Valley Spartans	20-13
2008	Capital Bowl XVIII	Porirua Knights	Wellington City Wolves	28-18
2007	Capital Bowl XVII	Porirua Knights	Wellington City Wolves	14-6
2006	Capital Bowl XVI	Hutt Valley Spartans	Knight City Knights	21-19 (4 OT)
2005	Capital Bowl XV	Porirua Giants	Knight City Knights	13-0
2004	Capital Bowl XIV	Porirua Giants	Knight City Knights	22-20
2003	Capital Bowl XIII	Knight City Knights	Manawatu Silverbacks	42-0
2002	Capital Bowl XII	Porirua Giants	Knight City Knights	12-3
2001	Capital Bowl XI	Porirua Giants	Harbour City Sharks	12-3
2000	Capital Bowl X	Porirua Giants	Wellington Knights	22-0
1999	Capital Bowl IX	Porirua Giants	Palmerston North Silverbacks	46-21
1998	Capital Bowl VIII	Porirua Giants	Wellington Hurricanes	6-0
1997	Capital Bowl VII	Porirua Hurricanes	Palmerston North Silverbacks	30-8
1996	Capital Bowl VI	Capital City Giants	Porirua Hurricanes	8-0
1995	Capital Bowl V	Capital City Giants	Porirua Hurricanes	24-6
1994	Capital Bowl IV	Hutt Valley Chargers	Levin Tigers	WBD
1992	Capital Bowl III	Levin Tigers	Capital City Giants	21-7
1991	Capital Bowl II	Hutt Valley Chargers	Harbour City Hurricanes	12-6
1990	Capital Bowl I	Harbour City Hurricanes	Hutt Valley Chargers	20-16
