Outcome	Year	Championship	Surface	Partner	Opponents	Score
Runner-up	2000	French Open	Clay	Paola Suárez	Martina Hingis Mary Pierce	6–2, 6–4
Winner	2001	French Open	Clay	Paola Suárez	Jelena Dokić Conchita Martínez	6–2, 6–1
Winner	2002	French Open	Clay	Paola Suárez	Lisa Raymond Rennae Stubbs	6–4, 6–2
Runner-up	2002	Wimbledon	Grass	Paola Suárez	Serena Williams Venus Williams	6–2, 7–5
Winner	2002	US Open	Hard	Paola Suárez	Elena Dementieva Janette Husárová	6–2, 6–1
Runner-up	2003	Australian Open	Hard	Paola Suárez	Serena Williams Venus Williams	4–6, 6–4, 6–3
Runner-up	2003	French Open	Clay	Paola Suárez	Kim Clijsters Ai Sugiyama	6–7(5), 6–2, 9–7
Runner-up	2003	Wimbledon	Grass	Paola Suárez	Kim Clijsters Ai Sugiyama	6–4, 6–4
Winner	2003	U.S. Open	Hard	Paola Suárez	Svetlana Kuznetsova Martina Navratilova	6–2, 6–2
Winner	2004	Australian Open	Hard	Paola Suárez	Svetlana Kuznetsova Elena Likhovtseva	6–4, 6–3
Winner	2004	French Open	Clay	Paola Suárez	Svetlana Kuznetsova Elena Likhovtseva	6–0, 6–3
Winner	2004	U.S. Open	Hard	Paola Suárez	Svetlana Kuznetsova Elena Likhovtseva	6–4, 7–5
Winner	2005	French Open	Clay	Paola Suárez	Cara Black Liezel Huber	4–6, 6–3, 6–3
Runner-up	2006	Wimbledon	Grass	Paola Suárez	Yan Zi Zheng Jie	6–3, 3–6, 6–2
Winner	2008	French Open	Clay	Anabel Medina Garrigues	Casey Dellacqua Francesca Schiavone	2–6, 7–5, 6–4
Winner	2009	French Open	Clay	Anabel Medina Garrigues	Victoria Azarenka Elena Vesnina	6–1, 6–1
