No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
101	1	" Gossip "	Paul Lieberstein	Paul Lieberstein	September17,2009	6001	8.20
102	2	" The Meeting "	Randall Einhorn	Aaron Shure	September24,2009	6002	7.33
103	3	" The Promotion "	Jennifer Celotta	Jennifer Celotta	October1,2009	6003	7.28
104/105	4/5	" Niagara "‡	Paul Feig	Greg Daniels & Mindy Kaling	October8,2009	6004/6005	9.42
106	6	" Mafia "	David Rogers	Brent Forrester	October15,2009	6006	8.10
107	7	" The Lover "	Lee Eisenberg	Lee Eisenberg & Gene Stupnitsky	October22,2009	6007	8.52
108	8	" Koi Pond "	Reggie Hudlin	Warren Lieberstein & Halsted Sullivan	October29,2009	6009	8.20
109	9	" Double Date "	Seth Gordon	Charlie Grandy	November5,2009	6008	7.94
110	10	" Murder "	Greg Daniels	Daniel Chun	November12,2009	6010	7.76
111	11	" Shareholder Meeting "	Charles McDougall	Justin Spitzer	November19,2009	6011	7.43
112	12	" Scott's Tots "	B. J. Novak	Gene Stupnitsky & Lee Eisenberg	December3,2009	6013	8.10
113	13	" Secret Santa "	Randall Einhorn	Mindy Kaling	December10,2009	6014	8.51
114	14	" The Banker "	Jeffrey Blitz	Jason Kessler	January21,2010	6012	7.29
115	15	" Sabre "	John Krasinski	Jennifer Celotta	February4,2010	6015	7.36
116	16	" The Manager and the Salesman "	Marc Webb	Mindy Kaling	February11,2010	6016	7.40
117/118	17/18	" The Delivery "‡	Seth Gordon (Part 1) Harold Ramis (Part 2)	Daniel Chun (Part 1) Charlie Grandy (Part 2)	March4,2010	6018/6019	9.00
119	19	" St. Patrick's Day "	Randall Einhorn	Jonathan Hughes	March11,2010	6017	7.51
120	20	" New Leads "	Brent Forrester	Brent Forrester	March18,2010	6020	7.63
121	21	" Happy Hour "	Matt Sohn	B. J. Novak	March25,2010	6021	7.17
122	22	" Secretary's Day "	Steve Carell	Mindy Kaling	April22,2010	6022	6.30
123	23	" Body Language "	Mindy Kaling	Justin Spitzer	April29,2010	6023	7.01
124	24	" The Cover-Up "	Rainn Wilson	Gene Stupnitsky & Lee Eisenberg	May6,2010	6024	6.84
125	25	" The Chump "	Randall Einhorn	Aaron Shure	May13,2010	6025	6.60
