Title	Series	Director	Production Number	Release date
Dumb Patrol	LT	Gerry Chiniquy	1664	1964-01-18
A Message to Gracias	LT	Robert McKimson	1652	1964-02-08
Bartholomew Versus the Wheel	MM	Robert McKimson	1661	1964-02-29
Freudy Cat	LT	Robert McKimson	1657	1964-03-14
Dr. Devil and Mr. Hare	MM	Robert McKimson	1665	1964-03-28
Nuts and Volts	LT	Friz Freleng	1651	1964-04-25
The Iceman Ducketh	LT	Phil Monroe Co-Dir: Maurice Noble	1668	1964-05-16
War and Pieces	LT	Chuck Jones Co-Dir: Maurice Noble	1660	1964-06-06
Hawaiian Aye Aye	MM	Gerry Chiniquy	1662	1964-06-27
False Hare	LT	Robert McKimson	1669	1964-07-16
Señorella and the Glass Huarache	LT	Hawley Pratt	1606	1964-08-01
Pancho's Hideaway	LT	Friz Freleng Co-Dir: Hawley Pratt	No Number	1964-10-24
Road To Andalay	MM	Friz Freleng Co-Dir: Hawley Pratt	No Number	1964-12-26
