Rider	Bike	Laps	Time	Grid
James Toseland	Honda CBR1000RR	22	+1'32.651	2
Troy Bayliss	Ducati 999 F07	22	+0.274	1
Noriyuki Haga	Yamaha YZF-R1	22	+6.916	4
Max Biaggi	Suzuki GSX-R1000 K7	22	+7.013	5
Troy Corser	Yamaha YZF-R1	22	+7.052	3
Ruben Xaus	Ducati 999 F06	22	+23.176	8
Lorenzo Lanzi	Ducati 999 F07	22	+26.471	10
Max Neukirchner	Suzuki GSX-R1000 K6	22	+26.471	7
Michel Fabrizio	Honda CBR1000RR	22	+26.486	13
Roberto Rolfo	Honda CBR1000RR	22	+37.936	15
Jakub Smrž	Ducati 999 F05	22	+41.308	14
Josh Brookes	Honda CBR1000RR	22	+48.672	12
Shinichi Nakatomi	Yamaha YZF-R1	22	+48.717	17
Fonsi Nieto	Kawasaki ZX-10R	22	+1'13.095	6
Alex Polita	Suzuki GSX-R1000 K6	22	+1'13.882	18
Christian Zaiser	MV Agusta F4 1000R	22	+1'17.925	19
Dean Ellison	Ducati 999RS	16	Retirement	21
Régis Laconi	Kawasaki ZX-10R	14	Retirement	9
Jiri Drazdak	Yamaha YZF-R1	6	Retirement	20
Steve Martin	Honda CBR1000RR	1	Retirement	11
