Season #	Title Italian	Title English	Directed by	Original air date
1	"Ricominciare"	Restart	Elisabetta Marchetti	March27,2011
2	"La gita scolastica"	The school trip	Elisabetta Marchetti	March27,2011
3	"Chi cerca trova"	Who seeks shall find	Elisabetta Marchetti	April3,2011
4	"La bufala delle bufale"	The hoax of the hoaxes	Elisabetta Marchetti	April3,2011
5	"Genitori e figli"	Parents and children	Elisabetta Marchetti	April7,2011
6	"L'amico del giaguaro"	The friend of the jaguar	Elisabetta Marchetti	April7,2011
7	"Il coraggio della paura"	The courage of the fear	Elisabetta Marchetti	April14,2011
8	"Le promesse si mantengono"	Promises must be kept	Elisabetta Marchetti	April14,2011
9	"Se mi lasci non vale"	If you leave me, it's not worth	Elisabetta Marchetti	April21,2011
10	"In volo"	In Flight	Elisabetta Marchetti	April21,2011
11	"La notte più fredda dell'anno"	The coldest night of the year	Elisabetta Marchetti	April25,2011
12	"Il mio Natale sei tu"	You're my Christmas	Elisabetta Marchetti	April25,2011
13	"Luna nuova"	New Moon	Elisabetta Marchetti	April28,2011
14	"La prima volta"	The first time	Elisabetta Marchetti	April28,2011
15	"Il desiderio più grande"	The greatest desire	Elisabetta Marchetti	May5,2011
16	"Problema di coppia"	Couple problem	Elisabetta Marchetti	May5,2011
17	"Che notte quella notte!"	What night that night!	Elisabetta Marchetti	May8,2011
18	"Questione di cuore"	Matter of heart	Elisabetta Marchetti	May8,2011
19	"La verità ti fa male lo so"	The truth hurts You, I Know	Elisabetta Marchetti	May12,2011
20	"Tra color che son sospesi"	Among those who are suspended	Elisabetta Marchetti	May12,2011
21	"Da che parte stai?"	Which side are you on?	Elisabetta Marchetti	May15,2011
22	"Quello che le donne vogliono davvero"	What women really want	Elisabetta Marchetti	May15,2011
23	"La fuga"	The escape	Elisabetta Marchetti	May19,2011
24	"Due proposte di matrimonio"	Two marriage proposals	Elisabetta Marchetti	May19,2011
25	"Festa di addio"	Farewell party	Elisabetta Marchetti	May26,2011
