Name	Location	State	Opened (closing date if defunct)	Surface	Length
Alaska Raceway Park	Palmer	Alaska	1964	Concrete	miles (km)
Atco Dragway	Atco	New Jersey	1960	Asphalt?	miles (km)
Atlanta Dragway	Commerce	Georgia	1975	Concrete	miles (m)
Bandimere Speedway	Morrison	Colorado	1958	Concrete	feet (m)
Bristol Dragway	Bristol	Tennessee	1965	Concrete	feet (m)
Charlotte Motor Speedway	Concord	North Carolina	2008	Concrete	feet (m)
Firebird International Raceway	Chandler	Arizona	1983	Concrete	miles (m)
Gainesville Raceway	Gainesville	Florida	1969	Concrete	miles (m)
Gateway International Raceway	Madison	Illinois	1995	Asphalt	miles (m)
Green Valley Raceway	North Richland Hills	Texas	1963-1984	Asphalt	miles (m)
Houston Raceway Park	Baytown	Texas	1988	Asphalt	feet (m)
Infineon Raceway	Sonoma	California	1968	Asphalt	miles (m)
Kansas City International Raceway	Raytown	Missouri	1967	Asphalt	miles (m)
Las Vegas Motor Speedway	Sunrise Manor	Nevada	1995	Asphalt	miles (m)
Lebanon Valley Dragway	West Lebanon	New York	1995	Asphalt	feet (m)
Maple Grove Raceway	Mohnton	Pennsylvania	1962	Asphalt	miles (m)
Motion Raceway	Assumption	Illinois	1969	Asphalt	feet (m)
National Trail Raceway	Hebron	Ohio	1964	Concrete/Asphalt	miles (m)
Newington International Airport	Newington	Connecticut	1953-1955	Pavement/Asphalt	miles (m)
New England Dragway	Epping	New Hampshire	1966	Asphalt	miles (m)
Old Bridge Township Raceway Park	Englishtown	New Jersey	1965	Asphalt	feet (m)
Palm Beach International Raceway	Jupiter	Florida	1965	Concrete	miles (m)
Route 66 Raceway	Joliet	Illinois	1997	Pavement	miles (m)
Sanford Seacoast Regional Airport	Sanford	Maine	1955-1964	Pavement/Asphalt	miles (m)
Virginia Motorsports Park	Petersburg	Virginia	1994	Asphalt	miles (m)
Woodburn Dragstrip	Woodburn	Oregon	1961	Asphalt	miles (m)
