Rank	Event	Place	Name	Prize
1st	LAPT2 Mar del Plata	1st	Dominik Nitsche	$381.030
2nd	LAPT4 São Paulo	1st	Alex Manzano	$368.703
3rd	LAPT3 Rosário	1st	Martin Sansour	$322.280
4th	LAPT2 San Jose	1st	Ryan Fee	$285.773
5th	LAPT2 Punta del Este	1st	Karl Hevroy	$283.580
6th	LAPT3 Punta del Este	1st	José "Nacho" Barbero	$279.330
7th	LAPT1 San Jose	1st	Valdemar Kwaysser	$274.103
8th	LAPT6 San Pablo	1st	Victor Sbrissa	$252.971
9th	LAPT3 Lima	1st	José "Nacho" Barbero	$250.000
10th	LAPT3 Florianópolis	1st	Matthias Habernig	$248.004
