Name	Pos.	Height	Weight	2012 club
Merrill Moses Category:Articles with hCards	GK	m ()	kg (lb)	New York Athletic Club
Peter Varellas Category:Articles with hCards	D	m ()	kg (lb)	The Olympic Club
Peter Hudnut Category:Articles with hCards	CB	m ()	kg (lb)	Los Angeles WP Club
Jeff Powers Category:Articles with hCards	CF	m ()	kg (lb)	Newport WP Foundation
Adam Wright Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Shea Buckner Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Layne Beaubien Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Tony Azevedo Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Ryan Bailey Category:Articles with hCards	CF	m ()	kg (lb)	Newport WP Foundation
Tim Hutten Category:Articles with hCards	CB	m ()	kg (lb)	Newport WP Foundation
Jesse Smith Category:Articles with hCards	CB	m ()	kg (lb)	New York Athletic Club
John Mann Category:Articles with hCards	CF	m ()	kg (lb)	New York Athletic Club
Chay Lapin Category:Articles with hCards	GK	m ()	kg (lb)	Long Beach Shore Aquatics
