Tie no	Home team	Score	Away team	Attendance
1	Bournemouth	1–0	West Bromwich Albion	2 January 1999
2	Bristol City	0–2	Everton	2 January 1999
3	Bury	0–3	Stockport County	2 January 1999
4	Preston North End	2–4	Arsenal	4 January 1999
5	Southampton	1–1	Fulham	2 January 1999
Replay	Fulham	1–0	Southampton	13 January 1999
6	Leicester City	4–2	Birmingham City	2 January 1999
7	Nottingham Forest	0–1	Portsmouth	2 January 1999
8	Blackburn Rovers	2–0	Charlton Athletic	2 January 1999
9	Aston Villa	3–0	Hull City	2 January 1999
10	Sheffield Wednesday	4–1	Norwich City	3 January 1999
11	Bolton Wanderers	1–2	Wolverhampton Wanderers	2 January 1999
12	Crewe Alexandra	1–3	Oxford United	2 January 1999
13	Lincoln City	0–1	Sunderland	2 January 1999
14	Swindon Town	0–0	Barnsley	2 January 1999
Replay	Barnsley	3–1	Swindon Town	19 January 1999
15	Wrexham	4–3	Scunthorpe United	2 January 1999
16	Sheffield United	1–1	Notts County	2 January 1999
Replay	Notts County	3–4	Sheffield United	23 January 1999
17	Tranmere Rovers	0–1	Ipswich Town	2 January 1999
18	Newcastle United	2–1	Crystal Palace	2 January 1999
19	Tottenham Hotspur	5–2	Watford	2 January 1999
20	Queens Park Rangers	0–1	Huddersfield Town	2 January 1999
21	Coventry City	7–0	Macclesfield Town	2 January 1999
22	West Ham United	1–1	Swansea City	2 January 1999
Replay	Swansea City	1–0	West Ham United	13 January 1999
23	Manchester United	3–1	Middlesbrough	3 January 1999
24	Plymouth Argyle	0–3	Derby County	2 January 1999
25	Bradford City	2–1	Grimsby Town	2 January 1999
26	Oldham Athletic	0–2	Chelsea	2 January 1999
27	Wimbledon	1–0	Manchester City	2 January 1999
28	Cardiff City	1–1	Yeovil Town	2 January 1999
Replay	Yeovil Town	1–2	Cardiff City	12 January 1999
29	Port Vale	0–3	Liverpool	16,557
30	Southport	0–2	Leyton Orient	2 January 1999
31	Rotherham United	0–1	Bristol Rovers	2 January 1999
32	Rushden & Diamonds	0–0	Leeds United	2 January 1999
Replay	Leeds United	3–1	Rushden & Diamonds	13 January 1999
