Res.	Record	Opponent	Method	Round	Time
Loss	14-14	Shayna Baszler	Submission (neck crank)	1	2:05
Loss	14-13	Marloes Coenen	Submission (rear naked choke)	1	2:01
Loss	14-12	Michiko Takeda	Decision (unanimous)	2	5:00
Win	14-11	Jan Finney	Submission (armbar)	2	3:01
Win	13-11	Mamiko Mamiko	Submission (armbar)	1	1:10
Loss	12-11	Hitomi Akano	Submission (armbar)	2	4:48
Win	12-10	Kamei Natsuko	Submission (armbar)	1	3:13
Loss	11-10	Megumi Fujii	Submission (armbar)	1	0:53
loss	11-9	Natsuko Kikukawa	TKO	1	1:13
Loss	11-8	Roxanne Modafferi	Decision (unanimous)	2	5:00
win	11-7	Hikaru Shinohara	Decision (unanimous)	2	5:00
Loss	10-7	Megumi Fujii	Submission (armbar)	1	0:53
Win	10-6	Lee Hee-Jin	TKO	2	1:48
Loss	9-6	Hitomi Akano	Submission (armbar)	1	1:27
Win	9-5	Yumiko Sugimoto	Decision (unanimous)	2	5:00
Win	8-5	Kumiko Maekawa	Decision (unanimous)	2	5:00
Win	7-5	Ha Na Kim	Decision (unanimous)	2	5:00
Win	6-5	Hikaru Shinohara	Submission (armbar)	2	0:00
Win	5-5	Hari Hari	Decision (unanimous)	2	5:00
Win	4-5	Yuiga Yuiga	Decision (unanimous)	2	5:00
Loss	3-5	Kaoru Ito	Technical Submission (armbar)	1	3:45
Loss	3-4	Akino Akino	Decision (split)	2	5:00
Win	3-3	Natsuko Kikukawa	Decision (unanimous)	2	5:00
Loss	2-3	Yuiga Yuiga	Submission (choke)	1	4:27
win	2-2	Kazue Terui	Decision	2	3:00
Loss	1-2	Yuuki Kondo	Decision	3	5:00
Loss	1-1	Mika Harigae	Submission (armbar)	1	2:52
Win	1-0	Etsuko Kato	Submission (armbar)	2	1:11
