Tournament	Winner	Runner-up	Score	Third Place
Frankfurt	John McEnroe	Cédric Pioline	6–2, 6–4	Goran Ivanišević
Doha	Sergi Bruguera	Pat Cash	6–3, 6–1	Cédric Pioline
Hong Kong	Goran Ivanišević	Pat Cash	6–2, 6–4	Thomas Muster
Rome	Thomas Muster	Jim Courier	6–7, 6–1, [10–4]	John McEnroe
Novi Vinodolski	Cédric Pioline	Goran Ivanišević	6–3, 7–6(4)	Thomas Muster
Algarve	John McEnroe	Pat Cash	6–1, 7–5	Paul Haarhuis
Seiersberg	Thomas Muster	Goran Ivanišević	6–4, 3–6, [10–7]	AUT Alex Antonitsch
Paris	Jim Courier	Cédric Pioline	7–6(4), 6–4	Sergi Bruguera
Eindhoven	Goran Ivanišević	Richard Krajicek	7–6, 7–6	John McEnroe
Essen	Goran Ivanišević	John McEnroe	6–3, 6–4	Anders Järryd
London	Paul Haarhuis	Jim Courier	6–3, 7–6(2)	None
