Rank	Metropolitan Statistical Area	Total Population (2010)	Indian American Population (2010)	% Indian American	Asian American Population (2010)	% Asian American	Combined Statistical Area
2	Los Angeles-Long Beach-Santa Ana, CA MSA	12828837	119901	0.9	1884669	14.7	Los Angeles-Long Beach-Riverside, CA CSA
3	Chicago-Joliet-Naperville, IL-IN-WI MSA	9461105	171901	1.8	532801	5.6	Chicago-Naperville-Michigan City, IL-IN-WI CSA
4	Dallas-Fort Worth-Arlington, TX MSA	6371773	100386	1.6	341503	5.4	Dallas-Fort Worth, TX CSA
5	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA	5965343	90286	1.5	295766	5.0	Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA
6	Houston-Sugar Land-Baytown, TX MSA	5946800	91637	1.5	389007	6.5	Houston-Baytown-Huntsville, TX CSA
8	Miami-Fort Lauderdale-Pompano Beach, FL MSA	5564635	41334	0.7	125564	2.3	primary census statistical area
10	Boston-Cambridge-Quincy, MA-NH MSA	4552402	62598	1.4	294503	6.5	Boston-Worcester-Manchester, MA-RI-NH CSA
11	San Francisco-Oakland-Fremont, CA MSA	4335391	119854	2.8	1005823	23.2	San Jose-San Francisco-Oakland, CA CSA
12	Detroit-Warren-Livonia, MI MSA	4296250	55087	1.3	141316	3.3	Detroit-Warren-Flint, MI CSA
13	Riverside-San Bernardino-Ontario, CA MSA	4224851	23587	0.6	259071	6.1	Los Angeles-Long Beach-Riverside, CA CSA
14	Phoenix-Mesa-Glendale, AZ MSA	4192887	31203	0.7	138717	3.3	primary census statistical area
15	Seattle-Tacoma-Bellevue, WA MSA	3439809	52652	1.5	392961	11.4	Seattle-Tacoma-Olympia, WA CSA
16	Minneapolis-St. Paul-Bloomington, MN-WI MSA	3279833	29453	0.9	188018	5.7	Minneapolis-St. Paul-St. Cloud, MN-WI CSA
17	San Diego-Carlsbad-San Marcos, CA MSA	3095313	24306	0.8	336091	10.0	San Diego-Carlsbad-San Marcos, CA MSA
18	St. Louis, MO-IL MSA	2812896	16874	0.6	60072	2.1	St. Louis-St. Charles-Farmington, MO-IL CSA
19	Tampa-St. Petersburg-Clearwater, FL MSA	2783243	23526	0.8	80879	2.9	primary census statistical area
21	Denver-Aurora-Broomfield, CO MSA	2543482	13649	0.5	94005	3.7	Denver-Aurora-Boulder, CO CSA
22	Pittsburgh, PA MSA	2356285	14568	0.6	41238	1.8	Pittsburgh-New Castle, PA CSA
23	Portland-Vancouver-Hillsboro, OR-WA MSA	2226009	15117	0.7	126965	5.7	primary census statistical area
26	Orlando-Kissimmee-Sanford, FL MSA	2134411	26105	1.2	84852	5.0	Orlando-Deltona-Daytona Beach, FL CSA
27	Cincinnati-Middletown, OH-KY-IN MSA	2130151	14696	0.7	40422	1.9	Cincinnati-Middletown-Wilmington, OH-KY-IN CSA
28	Cleveland-Elyria-Mentor, OH MSA	2077240	14215	0.7	40522	2.0	Cleveland-Akron-Elyria, OH CSA
29	Kansas City, MO-KS MSA	2035334	11646	0.6	46221	2.3	Kansas City-Overland Park-Kansas City, MO-KS CSA
31	San Jose-Sunnyvale-Santa Clara, CA MSA	1836911	117711	6.4	571967	31.3	San Jose-San Francisco-Oakland, CA CSA
34	Indianapolis-Carmel, IN MSA	1756241	12669	0.7	39576	2.3	Indianapolis-Anderson-Columbus, IN CSA
43	Richmond, VA MSA	1258251	12926	1.0	39265	3.1	primary census statistical area
45	Hartford-West Hartford-East Hartford, CT MSA	1212381	18764	1.5	47339	3.9	Hartford-West Hartford-Willimantic, CT CSA
48	Raleigh-Cary, NC MSA	1130490	20192	1.8	49862	4.4	Raleigh-Durham-Cary, NC CSA
55	Fresno, CA MSA	930450	15469	1.7	89357	9.6	Fresno-Madera, CA CSA
56	Bridgeport-Stamford-Norwalk, CT MSA	916829	15439	1.7	42284	4.6	New York-Newark-Bridgeport, NY-NJ-CT-PA CSA
77	Stockton, CA MSA	685306	12951	1.9	98472	14.4	primary census statistical area
109	Fayetteville-Springdale-Rogers, AR-MO MSA	422610	3534	0.9	12948	3.06	Fayetteville-Springdale-Rogers, AR-MO MSA
