Television service	Country	Language	Content	HDTV	Package/Option
Retebrescia – Rtb International	Italy	Italian	general television	no	no ( FTA )
Toscana Link	Italy	Italian	televendite	no	no ( FTA )
7 Gold Telecity	Italy	Italian	general television	no	no ( FTV )
Sardegna Uno Sat	Italy	Italian	tv locale (vers. sat)	no	no ( FTA )
Mediterraneo Sat	Italy	Italian	general television	no	no ( FTA )
Toscana Channel	Italy	Italian	tv locale	no	no ( FTA )
People TV – Rete 7	Italy	Italian	tv locale	no	no ( FTA )
Telecolore	Italy	Italian	tv locale	no	no ( FTA )
TV 8 Mont Blanc	France	French	general television	no	no ( FTA )
GBR	Italy	Italian	tv locale	no	no ( FTA )
E-TV Emilia-Romagna	Italy	Italian	tv locale	no	no ( FTA )
Telenova	Italy	Italian	tv locale	no	no ( FTA )
Rete Kalabria Sat	Italy	Italian	tv locale (vers. sat)	no	no ( FTA )
TVA Vicenza	Italy	Italian	tv locale	no	no ( FTA )
Telefoggia	Italy	Italian	tv locale	no	no ( FTA )
Teletirreno	Italy	Italian	tv locale	no	no ( FTA )
AB Channel – Rete Italia	Italy	Italian	tv locale	no	no ( FTA )
TeF Channel	Italy	Italian	tv locale	no	no ( FTA )
Studio 100 SAT	Italy	Italian	tv locale (vers. sat)	no	no ( FTA )
Trentino TV	Italy	Italian	tv locale	no	no ( FTA )
Veneto Link	Italy	Italian	televendite	no	no ( FTA )
La Nuova TV	Italy	Italian	tv locale	no	no ( FTA )
Ulisse	Italy	Italian	cartomanzia	no	no ( FTA )
Bergamo Sat	Italy	Italian	tv locale	no	no ( FTA )
Salento Channel	Italy	Italian	tv locale	no	no ( FTA )
Primantenna	Italy	Italian	tv locale	no	no ( FTA )
Liguria TV	Italy	Italian	tv locale	no	no ( FTA )
