Year	Game	Genre	Platform(s)	Developer(s)
2001	Halo: Combat Evolved	( First-Person ) Shooter	Xbox , Windows	Bungie Studios
2002	Battlefield 1942	( First-Person ) Shooter	Windows	Digital Illusions CE
2003	Star Wars: Knights of the Old Republic	Role-Playing Game	Xbox , Windows	BioWare
2004	Half-Life 2	( First-Person ) Shooter	Windows , Xbox 360 , Xbox , PlayStation 3	Valve Corporation
2005	God of War	Action : Hack & Slash	PlayStation 2	SCE Studios Santa Monica
2006	Ōkami	Action-Adventure	PlayStation 2 , Wii	Clover Studio
2007	Super Mario Galaxy	Platformer	Wii	Nintendo EAD Tokyo Development Group
2008	Fallout 3	Role-Playing Game	Microsoft Windows , Xbox 360 , PlayStation 3	Bethesda Game Studios
2009	Uncharted 2: Among Thieves	Action-Adventure : ( Third-Person ) Shooter	PlayStation 3	Naughty Dog
2010	Mass Effect 2	Action RPG : ( Third-Person ) Shooter	Microsoft Windows , Xbox 360 , PlayStation 3 ,	BioWare
2011	Portal 2	( First-Person ) Puzzle	Xbox 360 , PlayStation 3 , Windows , Mac OS X	Valve Corporation
2012	Journey	Adventure	PlayStation 3	Thatgamecompany
