Driver	Constructor	Laps	Time/Retired	Grid
Nino Farina	Alfa Romeo	80	2:51:17.4	3
Dorino Serafini Alberto Ascari	Ferrari	80	+ 1:18.6	6
Luigi Fagioli	Alfa Romeo	80	+ 1:35.6	5
Louis Rosier	Talbot-Lago - Talbot	75	+ 5 Laps	13
Philippe Étancelin	Talbot-Lago - Talbot	75	+ 5 Laps	16
Toulo de Graffenried	Maserati	72	+ 8 Laps	17
Peter Whitehead	Ferrari	72	+ 8 Laps	18
David Murray	Maserati	56	Gearbox	24
Cuth Harrison	ERA	51	Radiator	21
Raymond Sommer	Talbot-Lago - Talbot	48	Gearbox	8
Guy Mairesse	Talbot-Lago - Talbot	42	Oil Pipe	11
Franco Rol	Maserati	39	Retirement	9
Piero Taruffi Juan Manuel Fangio	Alfa Romeo	34	Engine	7
Pierre Levegh	Talbot-Lago - Talbot	29	Gearbox	20
Juan Manuel Fangio	Alfa Romeo	23	Gearbox	1
Johnny Claes	Talbot-Lago - Talbot	22	Overheating	22
Alberto Ascari	Ferrari	21	Engine	2
Clemente Biondetti	Ferrari - Jaguar	17	Engine	25
Henri Louveau	Talbot-Lago - Talbot	16	Brakes	16
Franco Comotti	Maserati - Milano	15	Retirement	26
Maurice Trintignant	Simca - Gordini	13	Water Pipe	12
Louis Chiron	Maserati	13	Oil Pressure	19
Consalvo Sanesi	Alfa Romeo	11	Engine	4
Robert Manzon	Simca - Gordini	7	Transmission	10
Prince Bira	Maserati	1	Engine	15
Paul Pietsch	Maserati	0	Engine	27
Felice Bonetto	Milano -Speluzzi	0	Non Starter	23
