Number	Astronaut	Agency	Total EVAs	Total Time Hours:Minutes
1	Solovyev Anatoly Solovyev	RSA	16	82:22
2	Lopez-Alegria Michael Lopez-Alegria	NASA	10	67:40
3	Ross Jerry L. Ross	NASA	9	58:32
4	Grunsfeld John M. Grunsfeld	NASA	8	58:30
5	Yurchikhin Fyodor Yurchikhin	RSA	8	51:53
6	Williams Sunita Williams	NASA	7	50:40
7	Smith Steven L. Smith	NASA	7	49:48
8	Fincke Michael Fincke	NASA	9	48:37
9	Bowen Stephen G. Bowen	NASA	7	47:18
10	Parazynski Scott E. Parazynski	NASA	7	47:05
11	Tanner Joseph R. Tanner	NASA	7	46:29
12	Curbeam Robert L. Curbeam	NASA	7	45:34
13	Budarin Nikolai Budarin	RSA	8	44:25
14	Wheelock Douglas H. Wheelock	NASA	6	43:30
15	Newman James H. Newman	NASA	6	43:13
16	Onufrienko Yuri Onufrienko	RSA	8	42:33
17	Linnehan Richard Linnehan	NASA	6	42:23
18	Feustel Andrew J. Feustel	NASA	6	42:18
19	Fossun Michael Fossum	NASA	6	42:01
20	Wolf David Wolf	NASA	7	41:17
21	Musabeyev Talgat Musabayev	RSA	7	41:13
22	Sellers Piers Sellers	NASA	6	41:10
23	Krikalev Sergei Krikalev	RSA	8	41:08
24	Avdeyev Sergei Avdeyev	RSA	8	41:00
25	Whitson Peggy Whitson	NASA	6	39:46
26	Tani Daniel M. Tani	NASA	6	39:11
27	Mastracchio Richard Mastracchio	NASA	6	38:30
28	Anderson Clayton Anderson	NASA	6	38:28
29	Vinogradov Pavel Vinogradov	RSA	7	38:25
