Season	Level	Division	Administration	Position
2002	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	2nd
2003	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	5th
2004	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	2nd
2005	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	4th
2006	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	7th
2007	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	9th
2008	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	7th
2009	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	5th
2010	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	4th
2011	Tier 4	Kolmonen (Third Division)	South-East Finland (SPL Kaakkois-Suomi)	2nd
