Tournament	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	Career SR	Career win-loss
Australian Open	A	LQ	LQ	A	1R	1R	1R	2R	SF	4R	A	A	0 / 6	9–6
French Open	A	A	A	A	2R	QF	2R	1R	F	1R	1R	1R	0 / 7	12–7
Wimbledon	A	A	A	A	A	3R	1R	3R	2R	A	A	A	0 / 4	5–4
US Open	A	A	A	A	A	2R	2R	4R	4R	A	1R	1R	0 / 6	8–6
Grand Slam SR	0 / 0	0 / 0	0 / 0	0 / 0	0 / 2	0 / 4	0 / 4	0 / 4	0 / 4	0 / 2	0 / 2	0 / 2	0 / 24	N/A
Grand Slam Win-Loss	0–0	0–0	0–0	0–0	1–2	7–4	2–4	6–4	15–4	3–2	0–2	0–2	N/A	34–24
Tennis Masters Cup	A	A	A	A	A	A	A	A	RR	A	A	A	0 / 1	0–3
Indian Wells Masters	A	A	A	A	A	A	2R	A	QF	1R	A	LQ	0 / 3	4–3
Miami Masters	A	A	A	A	A	A	1R	2R	3R	3R	A	LQ	0 / 4	3–4
Monte Carlo Masters	A	A	A	A	A	A	2R	A	2R	2R	1R	3R	0 / 5	5–5
Rome Masters	A	A	A	A	LQ	A	2R	A	W	1R	1R	1R	1 / 5	7–4
Hamburg Masters	A	A	A	A	A	A	1R	A	QF	2R	A	A	0 / 3	4–3
Canada Masters	A	A	A	A	A	A	A	A	1R	2R	1R	A	0 / 3	1–3
Cincinnati Masters	A	A	A	A	A	A	A	A	2R	1R	1R	A	0 / 3	1–3
Madrid Masters (Stuttgart)	1R	A	LQ	A	A	A	2R	3R	3R	A	2R	A	0 / 5	3–5
Paris Masters	A	A	A	A	A	2R	2R	1R	2R	A	A	A	0 / 4	2–4
Total Titles	0	0	0	0	0	1	1	5	5	0	0	0	N/A	12
Hardcourt Win-Loss	0–0	0–0	0–0	0–0	6–6	9–10	6–13	22–10	39–16	19–12	7–10	5–7	N/A	113–84
Grass Win-Loss	0–0	0–0	0–0	0–0	0–0	2–2	2–2	2–3	1–1	0–0	0–0	0–0	N/A	7–8
Carpet Win-Loss	0–1	0–0	0–0	0–0	0–0	11–7	3–3	0–1	0–1	1–1	0–0	0–0	N/A	15–14
Clay Win-Loss	0–0	0–0	0–0	3–2	7–4	20–7	17–13	20–8	27–7	5–9	5–9	5–12	N/A	109–71
Overall Win-Loss	0–1	0–0	0–0	3–2	13–10	42–26	28–31	44–22	67–25	25–22	12–19	10–19	N/A	244–177
Year End Ranking	690	588	1003	170	86	22	52	15	4	49	107	125	N/A	N/A
