Rank	Heat	Lane	Name	Nationality	Time
1	6	5	Federica Pellegrini	Italy	1:55.45
2	5	4	Sara Isakovič	Slovenia	1:55.86
3	5	3	Caitlin McClatchey	Great Britain	1:56.97
4	6	4	Katie Hoff	United States	1:57.20
5	6	2	Ágnes Mutina	Hungary	1:57.25
6	4	2	Pang Jiaying	China	1:57.37
7	4	4	Allison Schmitt	United States	1:57.38
8	6	1	Haruka Ueda	Japan	1:57.64
9	4	3	Camelia Potec	Romania	1:57.65
10	5	5	Bronte Barratt	Australia	1:57.75
11	5	2	Ophélie-Cyrielle Étienne	France	1:57.93
12	6	3	Linda Mackenzie	Australia	1:57.96
13	5	6	Josefin Lillhage	Sweden	1:57.98
14	4	5	Joanne Jackson	Great Britain	1:58.00
15	6	6	Aurore Mongel	France	1:58.11
16	5	1	Ida Marko-Varga	Sweden	1:58.21
17	4	7	Stephanie Horner	Canada	1:58.35
18	4	1	Melania Costa	Spain	1:59.50
19	6	7	Zhu Qianwei	China	1:59.52
20	6	8	Daria Belyakina	Russia	1:59.72
21	4	8	Maki Mita	Japan	1:59.96
22	4	6	Annika Lurz	Germany	1:59.98
23	3	5	Ranomi Kromowidjojo	Netherlands	2:00.02
24	5	7	Petra Dallmann	Germany	2:00.21
25	5	8	Geneviève Saumur	Canada	2:00.49
26	3	7	Jördis Steinegger	Austria	2:00.52
27	3	1	Anna Stylianou	Cyprus	2:00.55
28	3	6	Monique Ferreira	Brazil	2:00.64
28	2	4	Elina Partõka	Estonia	2:00.64
30	2	5	Nina Rangelova	Bulgaria	2:00.66
31	2	7	Hoi Shun Stephanie Au	Hong Kong	2:00.85
32	3	3	Paulina Barzycka	Poland	2:00.92
33	3	4	Melissa Corfe	South Africa	2:00.95
34	2	2	Louise Mai Jansen	Denmark	2:01.30
35	1	4	Nataliya Khudyakova	Ukraine	2:02.27
36	2	6	Lynette Lim	Singapore	2:02.30
37	3	8	Yang Chin-Kuei	Chinese Taipei	2:02.84
38	1	5	Natthanan Junkrajang	Thailand	2:02.88
39	2	8	Christine Mailliet	Luxembourg	2:02.91
40	1	2	Milica Ostojić	Serbia	2:03.19
41	1	7	Heysi Villarreal	Cuba	2:03.23
42	1	3	Anja Trišić	Croatia	2:03.57
43	2	3	Melanie Nocher	Ireland	2:04.29
44	3	2	Eleni Kosti	Greece	2:04.55
45	1	6	Sigrún Brá Sverrisdóttir	Iceland	2:04.82
46	2	1	Lee Keo-Ra	South Korea	2:05.71
