Character	Game	Platform	Status	Mystic Arte	Character Voice
Cless Alvein	Tales of Phantasia	Super Famicom	Playable	Stygian Blade 2	Takeshi Kusao
Mint Adnade	Tales of Phantasia	Super Famicom	Playable	Time Stop	Junko Iwao
Chester Barklight	Tales of Phantasia	Super Famicom	Playable	(Ten'i Jouhakyuu)	Kentarou Itou
Arche Klaine (Klein)	Tales of Phantasia	Super Famicom	Playable	Big Bang	Mika Kanai
Suzu Fujibayashi	Tales of Phantasia	Super Famicom	Playable	Jiraiya	Taeko Kawada
Dhaos	Tales of Phantasia	Super Famicom	Non-Playable	Super Dhaos Laser	Toshiyuki Morikawa
Stan (Stahn) Aileron	Tales of Destiny	PlayStation	Playable	Imperial Phoenix 2	Tomokazu Seki
Rutee Katrea	Tales of Destiny	PlayStation	Playable	Life Discharge	Yuka Imai
Leon Magnus	Tales of Destiny	PlayStation	Playable	Infernal Suffering	Hikaru Midorikawa
Woodrow Kelvin	Tales of Destiny	PlayStation	Playable	Azure Cannon 2	Sho Hayami
Philia Philis (Felice)	Tales of Destiny	PlayStation	Playable	Sacred Penance	Kikuko Inoue
Mighty Kongman (Bruiser Khang)	Tales of Destiny	PlayStation	Playable	Tres Bien Hip	Tesshō Genda
Lilith Aileron	Tales of Destiny	PlayStation	Playable	Thunder Sword	Chie Sawaguchi
Chelsea Torn 1	Tales of Destiny	PlayStation	Playable	Wild Geese	Naoko Watanabe
Rid (Reid) Hershel	Tales of Eternia	PlayStation	Playable	Aurora Wall	Akira Ishida
Farah Oersted	Tales of Eternia	PlayStation	Playable	Final Fury	Yuko Minaguchi
Keel (Keele) Zeibel	Tales of Eternia	PlayStation	Playable	Rem	Soichiro Hoshi
Chat	Tales of Eternia	PlayStation	Playable	Eternal Hammer	Junko Noda
Celsius	Tales of Eternia	PlayStation	Playable	Ground Breaker	Junko Noda
Meredy & Quickie 1	Tales of Eternia	PlayStation	Playable	Shadow	Omi Minami
Kyle Dunamis	Tales of Destiny 2	PlayStation 2	Playable	Celestial Blade 2	Jun Fukuyama
Reala	Tales of Destiny 2	PlayStation 2	Playable	Aqua Rims	Ryoka Yuzuki
Loni Dunamis 1	Tales of Destiny 2	PlayStation 2	Playable	Final Prayer	Toshihiko Seki
Judas 1	Tales of Destiny 2	PlayStation 2	Playable	Final Redemption 2	Hikaru Midorikawa
Nanaly Fletch	Tales of Destiny 2	PlayStation 2	Playable	Wild Geese	Yumi Kakazu
Harold Berselius	Tales of Destiny 2	PlayStation 2	Playable	Princess of Mermaid	Akiko Hiramatsu
Barbatos Goetia	Tales of Destiny 2	PlayStation 2	Non-Playable	No Items Ever!	Norio Wakamoto
Lloyd Irving	Tales of Symphonia	Nintendo GameCube	Playable	Falcon's Crest	Katsuyuki Konishi
Collet (Colette) Brunel	Tales of Symphonia	Nintendo GameCube	Playable	Holy Judgment	Nana Mizuki
Genius (Genis) Sage	Tales of Symphonia	Nintendo GameCube	Playable	Indignation Judgment	Ai Orikasa
Refill (Raine) Sage	Tales of Symphonia	Nintendo GameCube	Playable	Sacred Shine	Yumi Tōma
Kratos Aurion	Tales of Symphonia	Nintendo GameCube	Playable	Shining Bind	Fumihiko Tachiki
Shihna (Sheena) Fujibayashi 1	Tales of Symphonia	Nintendo GameCube	Playable	Summon: Heart	Akemi Okamura
Zelos Wilder	Tales of Symphonia	Nintendo GameCube	Playable	Shining Bind	Masaya Onosaka
Presea Combatir	Tales of Symphonia	Nintendo GameCube	Playable	Crimson Devastation	Houko Kuwashima
Yggdrasill / Mithos Yggdrasill 1	Tales of Symphonia	Nintendo GameCube	Non-Playable	Time Stop	Hideyuki Tanaka
Veigue Lungberg	Tales of Rebirth	PlayStation 2	Playable	Celsius Calibur	Nobuyuki Hiyama
Claire Bennett	Tales of Rebirth	PlayStation 2	Non-Playable	None	Mio Yasuda
Mao	Tales of Rebirth	PlayStation 2	Playable	Inferno Drive	Akeno Watanabe
Eugene Gallardo	Tales of Rebirth	PlayStation 2	Playable	Light Blast	Unsho Ishizuka
Annie Barrs	Tales of Rebirth	PlayStation 2	Playable	Wyrm Field 2	Akiko Yajima
Tytree Crowe 1	Tales of Rebirth	PlayStation 2	Playable	Crimson Phoenix 2	Kappei Yamaguchi
Saleh 1	Tales of Rebirth	PlayStation 2	Non-Playable	Steife Brise	Masami Kikuchi
Senel Coolidge	Tales of Legendia	PlayStation 2	Playable	(Satsugeki Genryuujin)	Kenichi Suzumura
Shirley Fennes 1	Tales of Legendia	PlayStation 2	Playable	Healing Sea 2	Ryō Hirohashi
Will Raynard 1	Tales of Legendia	PlayStation 2	Playable	The End	Susumu Chiba
