Player	Nationality	Position	From	School/Country
, John Fairchild	United States	Forward	1965	BYU
Farmar, Jordan Jordan Farmar	United States	Guard	2006	UCLA
, Ron Feiereisel	United States	Guard	1955	DePaul
, Ray Felix	United States	Center	1959	Long Island
, Arnie Ferrin	United States	Guard/Forward	1948	Utah
, Hank Finkel	United States	Center	1966	Dayton
, Derek Fisher	United States	Guard	1996 2007	Arkansas-Little Rock
, Ed Fleming	United States	Guard/Forward	1957	Niagara
, Don Ford	United States	Forward	1975	UCSB
, Donnie Forman	United States	Guard	1948	NYU
, Greg Foster	United States	Forward/Center	2000	UTEP
, Larry Foust	United States	Forward/Center	1957	La Salle
, Rick Fox	Canada	Forward	1997	North Carolina
, Donnie Freeman	United States	Guard	1975	Illinois
, Jim Fritsche	United States	Forward/Center	1953	Hamline
