Team	Location	Head Coach	Team Captain	Venue	Capacity	Position in 2008
Amkar	Perm	Rashid Rakhimov	Martin Kushev	Zvezda	19500	4th
CSKA	Moscow	Leonid Slutskiy	Igor Akinfeev	Luzhniki	78304	2nd
Dynamo	Moscow	Andrei Kobelev	Dmitri Khokhlov	Arena Khimki	18840	3rd
Khimki	Khimki	Igor Chugainov (caretaker)	Dragan Blatnjak	Arena Khimki	18840	14th
Krylia Sovetov	Samara	Yuri Gazzaev	Ruslan Adzhindzhal	Metallurg	33001	6th
Kuban	Krasnodar	Poghos Galstyan (caretaker)	Andrei Topchu	Kuban	34640	D1, 2nd
Lokomotiv	Moscow	Yuri Semin	Rodolfo	Lokomotiv	28810	7th
Moscow	Moscow	Miodrag Božović	Yuri Zhevnov	Eduard Streltsov	13422	9th
Rostov	Rostov-on-Don	Oleg Dolmatov	Mikhail Osinov	Olimp-2	15842	D1, 1st
Rubin	Kazan	Gurban Berdiýew	Sergei Semak	Centralny	28856	1st
Saturn	Ramenskoye	Andrei Gordeev (caretaker)	Aleksei Igonin	Saturn	16726	11th
Spartak	Moscow	Valeri Karpin (executive director)	Martin Jiránek	Luzhniki	78304	8th
Spartak	Nalchik	Yuri Krasnozhan	Miodrag Džudović	Spartak	14194	12th
Terek	Grozny	Shahin Diniyev (caretaker)	Timur Dzhabrailov	Sultan Bilimkhanov	10400	10th
Tom	Tomsk	Valeri Nepomnyaschiy	Sergei Pareiko	Trud	14950	13th
