Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
62	March 1	@ Milwaukee	L 90–92 (OT)	Rodney Stuckey (25)	Greg Monroe , Charlie Villanueva (9)	Rodney Stuckey (5)	Bradley Center 11,364	22–40
63	March 2	Minnesota	L 105–116 (OT)	Austin Daye (22)	Greg Monroe (11)	Rodney Stuckey (10)	The Palace of Auburn Hills 13,122	22–41
64	March 6	Washington	W 113–102 (OT)	Tayshaun Prince (20)	Greg Monroe , Rodney Stuckey (7)	Rodney Stuckey (9)	The Palace of Auburn Hills 17,506	23–41
65	March 9	@ San Antonio	L 104–111 (OT)	Richard Hamilton (20)	Greg Monroe (10)	Tracy McGrady (9)	AT&T Center 18,581	23–42
66	March 11	@ Oklahoma City	L 94–104 (OT)	Richard Hamilton (20)	Greg Monroe (10)	Greg Monroe , Rodney Stuckey (6)	Oklahoma City Arena 18,203	23–43
67	March 12	@ Denver	L 101–131 (OT)	Chris Wilcox (21)	Austin Daye , Ben Gordon , Greg Monroe (6)	Will Bynum (10)	Pepsi Center 19,155	23–44
68	March 16	Toronto	W 107–93 (OT)	Richard Hamilton (24)	Greg Monroe (10)	Rodney Stuckey (14)	The Palace of Auburn Hills 15,166	24–44
69	March 18	New York	W 99–95 (OT)	Tayshaun Prince (16)	Chris Wilcox (12)	Will Bynum (5)	The Palace of Auburn Hills 22,076	25–44
70	March 20	@ Atlanta	L 96–104 (OT)	Rodney Stuckey (22)	Greg Monroe (10)	Rodney Stuckey (8)	Philips Arena 17,580	25–45
71	March 23	Miami	L 94–100 (OT)	Richard Hamilton (27)	Greg Monroe (12)	Rodney Stuckey (6)	The Palace of Auburn Hills 22,076	25–46
72	March 25	@ Cleveland	L 91–97 (OT)	Richard Hamilton , Tayshaun Prince (15)	Chris Wilcox , Greg Monroe (8)	Rodney Stuckey (4)	Quicken Loans Arena 19,907	25–47
73	March 26	Indiana	W 100–88 (OT)	Richard Hamilton (23)	Greg Monroe (13)	Richard Hamilton , Rodney Stuckey (6)	The Palace of Auburn Hills 19,216	26–47
