English Title/Translation	Japanese Title	Developer	Publisher	Genre	Console(s)	Initial Release Date
Ranma ½	Ranma ½ Kakuren Bodesu Match	Banpresto	Banpresto	Puzzle (Maze)	Game Boy JP	1990/06/28 June 28, 1990
Ranma ½	Ranma ½	NCS	Masaya	Fighting (Side Scrolling)	PC Engine JP	1990/12/07 December 7, 1990
Ranma ½: Battle Renaissance	Ranma ½: Battle Renaissance	Altelier-Sai	Shogakukan	Fighting	PlayStation JP	1996/12/06 December 6, 1996
Ranma ½: The Captive Bride	Ranma ½: Toraware no Hanayome	NCS	Masaya	Digital Comic	PC Engine JP	1991/12/06 December 6, 1991
Ranma ½: Character Q&A!!	Ranma ½: Kakugeki Mondou!!	Banpresto	Banpresto	RPG (Quiz)	Game Boy JP	1993/08/06 August 6, 1993
Fever Ranma ½: Hot Springs Athletic Chapter	Fever Ranma ½: Onsen Asurechikku Hen	Sankyo	Sankyo	Arcade	Pachinko JP	2011/02 February 2011
Ranma ½: Flying Dragon Legend	Ranma ½: Hiryu Densetsu	Microvision	Bothtec	Text Adventure	PC-98 JP MSX JP	1992
Ranma ½: Hidden Treasure of the Red Cat Gang	Ranma ½: Akaneko-dan teki Hihou	Rumic Soft	Toho Company Ltd.	RPG	SF JP	1993/10/22 October 22, 1993
Ranma ½: Rock-Scissors-Puzzle	Ranma ½: Ougi Jaanken	Rumic Soft	Rumic Soft	Puzzle (Paper-Rock-Scissors/Tetris)	SF JP PC-98 JP	1995/07/21 July 21, 1995
Ranma ½: Super-Skill Wild Dance Chapter	Ranma ½: Chougi Rambuhen	Rumic Soft	Toho Company Ltd.	Fighting	SF JP	1994/04/28 April 28, 1994
Ranma ½: Vehement Melee Chapter	Ranma ½: Netsuretsu Kakutouhen	Banpresto	Banpresto	RPG (Fighter)	Game Boy JP	1992/07/17 July 17, 1992
