January–September 2013	Birth/2013	Birth/2012	Death/2013	Death/2012
Chechnya	249	262	50	5,4
Ingushetia	212	222	35	3,6
Dagestan	183	186	54	5,6
Kabardino-Balkaria	156	159	89	9,0
North Ossetia-Alania	154	149	105	10,7
Karachay-Cherkessia	136	133	94	9,7
Stavropol Krai	125	123	116	12,1
Ural Federal District	150	150	124	12,6
Khanty-Mansi Autonomous Okrug	175	176	62	6,3
Tyumen Oblast	169	171	82	8,4
Yamalo-Nenets Autonomous Okrug	162	163	51	5,3
Sverdlovsk Oblast	145	141	138	13.,9
Chelyabinsk Oblast	141	143	139	14,3
Kurgan Oblast	141	140	162	15,9
Siberian Federal District	149	148	135	13,6
Tuva	261	263	109	10,9
Altai Republic	211	225	114	11,7
Buriatia	175	172	119	12,5
Zabaykalsky Krai	160	160	125	13,1
Khakassia	157	160	132	13,3
Irkutsk Oblast	157	159	139	13,8
Omsk Oblast	146	149	135	13,7
Krasnoyarsk Oblast	144	145	129	13,0
Novosibirsk Oblast	141	137	137	13,5
Tomsk Oblast	137	135	119	11,8
Kemerovo Oblast	136	136	147	15,1
Altai Krai	136	136	143	14,5
Far East Federal District	138	137	126	13,1
Sakha Republic	173	174	88	9,4
Amur Oblast	140	143	136	15,0
Khabarovsk Krai	137	134	133	13,5
Jewish Autonomous Oblast	137	140	144	15,1
Kamchatka Krai	129	130	116	11,6
Sakhalin Oblast	129	126	133	13,6
Chukotka Autonomous Okrug	126	139	104	11,5
Primorsky Krai	125	124	135	13,7
Magadan Oblast	124	122	120	12,8
Volga Federal District	132	131	140	13,9
Udmurtia	147	152	128	12,7
Orenburg Oblast	147	147	140	14,1
Perm Krai	147	147	142	14,1
Tatarstan	147	144	121	12,1
Mari El	146	143	137	13,5
Bashkortostan	145	144	132	13,1
Chuvashia Republic	140	139	133	13,2
Kirov Oblast	130	127	156	15,3
Samara Oblast	123	120	143	13,8
Nizhny Novgorod Oblast	117	118	160	16,0
Ulyanovsk Oblast	116	112	144	14,1
Saratov Oblast	113	113	144	14,3
Penza Oblast	105	106	148	14,7
Mordovia	99	99	149	14,3
Southern Federal District	123	124	131	13,4
Astrakhan Oblast	144	149	123	12,5
Kalmukia	143	150	98	10,0
Krasnodar Krai	128	128	128	13,2
Adygea	125	127	128	13,4
Volgograd Oblast	115	115	134	13,6
Rostov Oblast	115	115	138	13,9
North-West Federal District	122	121	135	13,7
Nenets Autonomous Okrug	176	173	106	10,2
Komi Republic	143	139	120	12,1
Vologda Oblast	138	139	152	15,0
Arkhangelsk Oblast	128	126	135	13,5
St-Petersburg	127	125	120	12,4
Kaliningrad Oblast	124	123	131	13,1
Republic of Karelia	119	124	148	15,2
Novgorod Oblast	117	115	180	17,9
Murmansk Oblast	116	116	110	11,2
Pskov Oblast	109	110	187	19,5
Leningrad Oblast	89	90	146	14,6
Central Federal District	113	113	137	13,8
Kostroma Oblast	128	129	161	16,0
Yaroslavl Oblast	121	119	159	15,8
Moscow Oblast	119	119	140	14,2
Kaluga Oblast	117	119	153	15,7
Kursk Oblast	116	119	162	16,5
Belgorod Oblast	116	116	138	14,0
Tver Oblast	113	115	183	18,2
Lipetsk Oblast	113	115	152	15,2
City of Moscow	112	113	97	9,8
Vladimir Oblast	111	116	167	16,5
Bryansk Oblast	111	113	161	16,1
Ivanovo Oblast	111	110	164	16,7
Oryol Oblast	110	111	164	16,3
Ryazan Oblast	109	106	159	16,4
Voronezh Oblast	106	108	156	15,6
Smolensk Oblast	106	105	166	16,4
Tula Oblast	98	101	174	17,7
