Rank	Name	Sprint Points	Extra Laps	Total Points
1	Mikhail Ignatiev ( RUS )	13	4	93
2	Joan Llaneras ( ESP )	22	3	82
3	Guido Fulst ( GER )	19	3	79
4	Greg Henderson ( NZL )	18	3	68
5	Milan Kadlec ( CZE )	15	3	65
6	Mark Renshaw ( AUS )	20	2	60
7	Peter Schep ( NED )	18	2	58
8	Angelo Ciccone ( ITA )	9	2	49
9	Milton Wynants ( URU )	6	2	46
10	Franck Perque ( FRA )	3	2	43
11	Marco Arriagada ( CHI )	5	1	25
12	Yauheni Sobal ( BLR )	4	1	24
13	Juan Curuchet ( ARG )	3	1	23
14	Colby Pearce ( USA )	3	1	23
15	Alexey Kolessov ( KAZ )	2	1	22
16	Makoto Iijima ( JPN )	13	0	13
17	Franz Stocher ( AUT )	9	0	9
18	Matthew Gilmore ( BEL )	7	0	7
19	Vasyl Yakovlev ( UKR )	3	0	3
20	Wong Kam Po ( HKG )	2	0	2
—	Chris Newton ( GBR )	DNF	DNF	DNF
—	Mahdi Sohrabi ( IRI )	DNF	DNF	DNF
—	Tomas Vaitkus ( LTU )	DNF	DNF	DNF
