Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	2R	3R	2R	QF
French Open	A	A	2R	3R	QF	3R	2R
Wimbledon	A	A	2R	3R	2R	2R	2R
US Open	A	A	2R	3R	2R	1R	1R
Win–Loss	0-0	0-0	3–3	7–4	7–4	4–4	5–4
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	A	Not Held	Not Held	Not Held	A	NH	0–0
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	QF	1R	1R	2R
Key Biscayne	A	A	A	1R	2R	2R	SF
Madrid	NH	NH	NH	2R	A	1R	2R
Beijing	Tier	Tier	Tier	A	A	1R	1R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	A	A	A	QF	A	2R	1R
Rome	A	A	A	A	A	A	11
Cincinnati	A	A	1R	SF	QF	1R	A
Montreal/Toronto	A	A	1R	1R	SF	2R	A
Tokyo	A	A	A	A	A	A	1R
WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments
Charleston	A	A	A	A	A	A	A
Moscow	A	A	SF	SF	QF	A	A
Doha	A	A	QF	Not Held	Not Held	1R	A
Berlin	A	A	1R	Not Held	Not Held	Not Held	Not Held
Zurich	A	A	QF	Not Held	Not Held	Not Held	Not Held
San Diego	A	A	A	A	A	A	A
Year-End ranking	159	131	35	30	30	50	27
