Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	February 5	@ Boston	W 103–92 (OT)	Kevin Willis (28)	Kevin Willis (16)	Alvin Williams (6)	FleetCenter 17,892	1-0
2	February 6	@ Washington	L 97–98 (OT)	Charles Oakley (18)	Charles Oakley (8)	Alvin Williams (9)	MCI Center 19,335	1-1
3	February 9	Milwaukee	L 77–91 (OT)	Vince Carter (22)	Charles Oakley , Kevin Willis (11)	Dee Brown (6)	Maple Leaf Gardens 14,577	1-2
4	February 11	@ Miami	L 84–102 (OT)	Doug Christie (20)	Michael Stewart (7)	Doug Christie , Alvin Williams (3)	Miami Arena 14,832	1-3
5	February 16	@ New York	L 85–95 (OT)	Vince Carter (17)	Charles Oakley (7)	Doug Christie (4)	Madison Square Garden 19,763	1-4
6	February 18	Washington	L 88–95 (OT)	Kevin Willis (25)	Kevin Willis (14)	Doug Christie (6)	SkyDome 14,292	1-5
7	February 19	Milwaukee	W 90–82 (OT)	Doug Christie (20)	Kevin Willis (11)	Tracy McGrady (7)	SkyDome 14,888	2-5
8	February 21	Vancouver	W 102–87 (OT)	Vince Carter (27)	Kevin Willis (15)	Charles Oakley (6)	Air Canada Centre 19,800	3-5
9	February 23	@ Detroit	L 80–106 (OT)	John Wallace (14)	Doug Christie , John Wallace (5)	Doug Christie , Tracy McGrady (4)	The Palace of Auburn Hills 14,187	3-6
10	February 24	@ Indiana	L 84–104 (OT)	Vince Carter (28)	Kevin Willis (13)	Tracy McGrady (3)	Market Square Arena 14,700	3-7
11	February 26	Minnesota	W 102–92 (OT)	Vince Carter (21)	Kevin Willis (16)	Doug Christie (9)	Air Canada Centre 15,122	4-7
12	February 28	Chicago	L 88–90 (OT)	Kevin Willis (19)	Charles Oakley (12)	Dee Brown (7)	Air Canada Centre 14,173	4-8
