Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2006	British Formula Renault 2.0 Winter Cup	Manor Competition	4	0	0	1	1	52	9th
2007	British Formula Renault 2.0	Manor Competition	20	1	0	1	3	272	8th
2007	Formula Renault 2.0 NEC	Manor Competition	2	0	0	0	0	16	37th
2007	British Formula Renault 2.0 Winter Cup	Manor Competition	4	0	0	0	0	20	19th
2007	French Formula Renault 2.0	Pole Services	9	0	1	0	0	19	15th
2007	French Formula Renault 2.0	Manor Competition	9	0	1	0	0	19	15th
2008	British Formula Renault 2.0	Manor Competition	20	2	1	3	12	449	2nd
2008	Formula Renault 2.0 WEC	Manor Competition	2	0	0	0	0	0	NC
2008	Formula Renault 2.0 Eurocup	SG Formula	2	0	0	0	0	7	19th
2008	Formula BMW Pacific	Team Meritus	1	0	0	1	0	0	NC†
2009	Formula 3 Euro Series	Mücke Motorsport	20	1	1	2	5	54	4th
2009	Masters of Formula 3	Mücke Motorsport	1	0	0	0	0	N/A	5th
2009	International Formula Master	T.S.P.	4	0	0	0	0	0	NC†
2009	Macau Grand Prix	City of Dreams / Räikkönen Robertson	1	0	0	0	0	N/A	18th
2010	Formula 3 Euro Series	ART Grand Prix	18	1	0	0	5	63	4th
2010	British Formula Three	ART Grand Prix	6	1	0	1	2	N/A	NC†
2010	Masters of Formula 3	ART Grand Prix	1	0	1	0	1	N/A	2nd
2010	Auto GP	Charouz - Gravity Racing	4	0	0	0	0	0	25th
2010	Macau Grand Prix	Räikkönen Robertson Racing	1	0	0	0	0	N/A	NC
2011	GP3 Series	Status Grand Prix	16	1	0	2	5	34	6th
2011	British Formula Three	Motopark	3	1	0	0	1	17	18th
2011	Macau Grand Prix	TOM'S	1	0	0	0	0	N/A	18th
2012	Formula 3 Euro Series	ThreeBond with T-Sport	3	1	0	2	1	N/A	NC†
2012	FIA European Formula 3 Championship	ThreeBond with T-Sport	2	0	0	0	0	N/A	NC†
2012	Macau Grand Prix	ThreeBond with T-Sport	1	0	0	0	0	N/A	15th
