Name	Height	Position	Year	Home Town
Erlana Larkins	6-1	Forward	Junior	Riviera Beach, FL
Trinity Bursey	5-10	Forward	Freshman	Sanford, NC
Alex Miller	5-6	Guard	Junior	Durham, NC
Ivory Latta	5-6	Guard	Senior	McConnells, SC
Heather Claytor	5-8	Guard	Sophomore	Grottoes, VA
Christina Dewitt	6-2	Forward	Sophomore	Little River, SC
Camille Little	6-2	Forward / Guard	Senior	Winston-Salem, NC
Iman McFarland	6-3	Forward	Sophomore	Temple Hills, MD
Meghan Austin	5-7	Guard	Junior	Lynchburg, VA
LaToya Pringle	6-3	Forward / Center	Junior	Fayetteville, NC
Rashanda McCants	6-1	Forward	Sophomore	Asheville, NC
Martina Wood	6-2	Forward / Center	Sophomore	Charlotte, NC
Jessica Breland	6-3	Forward	Freshman	Kelford, NC
