Class	Railway number(s)	Quantity	Year(s) of manufacture	Axle arrangement ( UIC )
None	70–73 ( de )	4	1868	B n2t
P 2 II	88 (II) …95 (II) , 260–262, 264–284	31	1900–1902	1′B2′ n2t
P 5	310–321	12	1908	1′C2′ n2t
T 1 ( de )	15 (II) …73 (II) , 177–186	31	1892–1897	B n2t
T 2 I ( de )	I–VIII	8	1865–1874	B n2t
T 2 II ( de )	VII (II) –X	4	1883–1884	B n2t
T 3 ( de )	13 (II) …71 (II) , 202–208, 246–256	27	1889–1905	C n2t
T 4 I	44 (II) …56 (II) , 194–197	7	1895–1897	C1′ n2t
T 4 I	322–325	4	1908	C1′ n2t
T 4 II	257–259	3	1900	C1′ n2t
T 5	306–309	4	1907	E n2t
D VIII	326–329	4	1909–1910	C1′ n2t
Pt 3/6	330–338	9	1911–1913	1′C2′ h2t
Pt 3/6	401–410	10	1923	1′C2′ h2t
R 4/4	123 (II) …159 (II)	9	1913–1915	D n2t
