Goal	Date	Venue	Score	Result	Competition
1	21 December 2002	Gelora Bung Karno Stadium , Jakarta, Indonesia	1–0	2–2	2002 Tiger Cup
2	23 December 2002	Gelora Bung Karno Stadium , Jakarta, Indonesia	3–0	13–1	2002 Tiger Cup
3	31 March 2004	Ashgabat Olympic Stadium , Ashgabat, Turkmenistan	1–1	3–1	2006 FIFA World Cup qualification
4	18 July 2004	Workers Stadium , Beijing, China	0–1	1–2	2004 AFC Asian Cup
5	10 July 2007	Gelora Bung Karno Stadium , Jakarta, Indonesia	1–0	2–1	2007 AFC Asian Cup
6	9 November 2007	Gelora Bung Karno Stadium , Jakarta, Indonesia	1–2	1–4	2010 FIFA World Cup qualification
7	21 August 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–2	0–7	2008 Indonesia Independence Cup
8	21 August 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–3	0–7	2008 Indonesia Independence Cup
9	21 August 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–4	0–7	2008 Indonesia Independence Cup
10	21 August 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–5	0–7	2008 Indonesia Independence Cup
11	25 August 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	3–0	4–0	2008 Indonesia Independence Cup
12	5 December 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	1–0	3–0	2008 AFF Suzuki Cup
13	7 December 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–1	0–4	2008 AFF Suzuki Cup
14	7 December 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–2	0–4	2008 AFF Suzuki Cup
15	7 December 2008	Gelora Bung Karno Stadium , Jakarta, Indonesia	0–3	0–4	2008 AFF Suzuki Cup
16	18 December 2009	Gelora Bung Karno Stadium , Jakarta, Indonesia	1–0	1–1	2011 AFC Asian Cup qualification
