Name	Bullet	Case Length	Base	Neck
.401 Winchester Self-Loading	10.34 (.4065)	38.1 (1.5)	11.68 (.490)	10.99 (.432)
.44 WCF	10.85 (.427)	33.27 (1.310)	11.96 (.471)	11.25 (.443)
.408 Chey Tac	10.4 (.408)	77 (3.04)	16.2 (.637)	11.1 (.438)
.416 Barrett	10.57 (.416)	83.058 (3.27)	20.2 (.797)	11.8 (.465)
.416 Remington Magnum	10.566 (.416)	72.39 (2.850)	13.03 (.513)	11.35 (.447)
.416 Rigby	10.57 (.416)	73.66 (2.90)	14.96 (.589)	11.33 (.446)
.416 Weatherby Magnum	10.566 (.416)	73.99 (2.913)	14.78 (.582)	11.28 (.444)
.404 Jeffery	10.75 (.422)	72.64 (2.86)	13.82 (.544)	11.43 (.450)
.405 Winchester	10.45 (0.411)	65.6 (2.583)	11.7 (0.461)	11.1 (0.436)
.444 Marlin	10.922 (.430)	56.51 (2.225)	11.96 (.471)	11.51 (.453)
