City	Country	IATA	ICAO	Airport
Abidjan	Côte d'Ivoire	ABJ	DIAP	Port Bouet Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Accra	Ghana	ACC	DGAA	Kotoka International Airport
Addis Ababa	Ethiopia	ADD	HAAB	Bole International Airport [T]
Aden	Yemen	ADE	OYAA	Aden International Airport [T]
Aleppo	Syria	ALP	OSAP	Aleppo Airport [T]
Amman	Jordan	AMM	OJAI	Queen Alia International Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Airport Schiphol [T]
Ankara	Turkey	ESB	LTAC	Esenboğa International Airport [T]
Athens	Greece	ATH	LGAV	Athens International Airport
Baghdad	Iraq	BGW	ORBI	Baghdad International Airport
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport [T]
Beirut	Lebanon	BEY	OLBA	Beirut Rafic Hariri International Airport †
Benghazi	Libya	BEN	HLLB	Benina International Airport [T]
Berlin	Germany	SXF	EDDB	Berlin Schönefeld Airport [T]
Brussels	Belgium	BRU	EBBR	Brussels Airport
Bucharest	Romania	OTP	LROP	Henri Coandă International Airport [T]
Cairo	Egypt	CAI	HECA	Cairo International Airport
Cologne / Bonn	Germany	CGN	EDDK	Cologne/Bonn Airport [T]
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport [T]
Copenhagen	Denmark	CPH	EKCH	Copenhagen Airport
Dakar	Senegal	DKR	GOOY	Léopold Sédar Senghor Airport [T]
Dammam	Saudi Arabia	DMM	OEDF	King Fahad International Airport
Doha	Qatar	DOH	OTBD	Doha International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Düsseldorf	Germany	DUS	EDDL	Düsseldorf International Airport
East Jerusalem	Israel	JRS	LLJR	Atarot Airport [T]
Erbil	Iraq	EBL	ORER	Erbil International Airport
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport
Freetown	Sierra Leone	FNA	GFLL	Lungi International Airport [T]
Geneva	Switzerland	GVA	LSGG	Geneva International Airport
Istanbul	Turkey	IST	LTBA	Ataturk International Airport
Jeddah	Saudi Arabia	JED	OEJN	King Abdul Aziz International Airport
Kano	Nigeria	KAN	DNKN	Mallam Aminu Kano International Airport
Karachi	Pakistan	KHI	OPKC	Jinnah International Airport [T]
Khartoum	Sudan	KRT	HSSS	Khartoum International Airport [T]
Kinshasa	Democratic Republic of the Congo	FIH	FZAA	N'djili Airport [T]
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport [T]
Kuwait	Kuwait	KWI	OKBK	Kuwait International Airport
Lagos	Nigeria	LOS	DNMM	Murtala Muhammed International Airport
Larnaca	Cyprus	LCA	LCLK	Larnaca International Airport
London	United Kingdom	LHR	EGLL	London Heathrow Airport
Madrid	Spain	MAD	LEMD	Barajas Airport [T]
Medina	Saudi Arabia	MED	OEMA	Prince Mohammad Bin Abdulaziz Airport
Milan	Italy	MXP	LIMC	Malpensa Airport
Monrovia	Liberia	ROB	GLRB	Roberts International Airport [T]
Moscow	Russia	SVO	UUDD	Sheremetyevo International Airport [T]
Mumbai	India	BOM	VABB	Chhatrapati Shivaji International Airport [T]
Mykonos	Greece	JMK	LGMK	Mykonos Island National Airport
Najaf	Iraq	NJF	ORNI	Al Najaf International Airport
New York City	United States	JFK	KJFK	John F. Kennedy International Airport [T]
Nice	France	NCE	LFMN	Nice Côte d'Azur Airport
Nicosia	Cyprus	NIC	LCNC	Nicosia International Airport [T]
Paris	France	CDG	LFPG	Paris-Charles de Gaulle Airport
Ras al Khaima	United Arab Emirates	RKT	OMRK	Ras Al Khaimah International Airport [T]
Riyadh	Saudi Arabia	RUH	OERK	King Khalid International Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport
Sao Paulo	Brazil	GRU	SBGR	Guarulhos International Airport [T]
Sarajevo	Bosnia-Herzegovina	SJJ	LQSA	Sarajevo International Airport
Sharm El Sheikh	Egypt	SSH	HESH	Sharm el-Sheikh International Airport
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport [T]
Sofia	Bulgaria	SOF	LBSF	Sofia Airport [T]
Tehran	Iran	THR	OIII	Mehrabad International Airport [T]
Tripoli	Lebanon	KYE	OLKA	Rene Mouawad Air Base [T]
Tripoli	Libya	TIP	HLLT	Tripoli International Airport [T]
Tunis	Tunisia	TUN	DTTA	Tunis-Carthage International Airport [T]
Vienna	Austria	VIE	LOWW	Vienna International Airport [T]
Yerevan	Armenia	EVN	UDYZ	Zvartnots International Airport
Zürich	Switzerland	ZRH	LSZH	Zurich Airport [T]
