Team	Stadium	Capacity	Lowest	Highest	Average
Celtic	Celtic Park	60,832	45,000	60,000	56,676
Rangers	Ibrox Stadium	51,082	47,419	50,440	49,143
Heart of Midlothian	Tynecastle Stadium	17,420	10,512	17,131	15,930
Hibernian	Easter Road	17,500	7,650	17,015	13,840
Aberdeen	Pittodrie	22,199	8,240	17,798	11,993
Dundee United	Tannadice Park	14,209	5,845	13,613	8,530
Motherwell 1	Fir Park	13,742	4,259	10,445	6,598
Kilmarnock	Rugby Park	18,128	4,086	11,544	6,181
Falkirk	Falkirk Stadium	6,935	4,490	6,803	5,567
Inverness CT	Caledonian Stadium	7,500	3,420	7,753	4,752
St. Mirren	Love Street	10,800	3,163	7,840	4,547
Gretna 1	Fir Park	13,742	431	6,137	2,283
