Skip	Third	Second	Lead	City
Kelly Scott	Jeanna Schraeder	Sasha Carter	Jacquie Armstrong	Kelowna
Sherry Anderson	Kim Hodson	Heather Walsh	Donna Gignac	Delisle
Amber Holland	Kim Schneider	Tammy Schneider	Heather Seeley	Regina
Sherry Middaugh	Kirsten Wall	Kim Moore	Andra Harmark	Coldwater
Marie-France Larouche	Nancy Bélanger	Annie Lemay	Joëlle Sabourin	Quebec City
Michelle Englot	Deanna Doig	Roberta Materi	Cindy Simmons	Regina
Heather Rankin	Lisa Eyamie	Heather Moulding	Kyla MacLachlan	Calgary
Rachel Homan	Emma Miskew	Alison Kreviazuk	Lynn Kreviazuk	Ottawa
Krista McCarville	Tara George	Kari MacLean-Kraft	Lorraine Lang	Thunder Bay
Cathy King	Kaitlyn Lawes	Raylene Rocque	Tracy Bush	Edmonton
Eve Belisle	Brenda Nicholls	Martine Comeau	Julie Rainville	Montreal
Crystal Webster	Lori Olson-Johns	Samantha Preston	Stephanie Malekoff	Calgary
