Date	Time	Round	Opponent	Ground	Score
19 August 2007	20:45 CET	Final	Roma	Home	0-1
26 August 2007	15:00 CET	01	Udinese	Home	1-1
1 September 2007	20:30 CET	02	Empoli	Away	2-0
16 September 2007	15:00 CET	03	Catania	Home	2-0
19 September 2007	20:45 CET	Group stage	Fenerbahçe	Away	0-1
23 September 2007	15:00 CET	04	Livorno	Away	2-2
26 September 2007	20:30 CET	05	Sampdoria	Home	3-0
30 September 2007	15:00 CET	06	Roma	Away	4-1
2 October 2007	20:45 CET	Group stage	PSV	Home	2-0
6 October 2007	20:30 CET	07	Napoli	Home	2-1
20 October 2007	21:30 CET	08	Reggina	Away	1-0
23 October 2007	20:45 CET	Group stage	CSKA Moscow	Away	2-1
28 October 2007	15:00 CET	09	Palermo	Away	0-0
31 October 2007	20:30 CET	10	Genoa	Home	4-1
4 November 2007	15:00 CET	11	Juventus	Away	1-1
7 November 2007	20:45 CET	Group stage	CSKA Moscow	Home	4-2
25 November 2007	15:00 CET	13	Atalanta	Home	2-1
27 November 2007	20:45 CET	Group stage	Fenerbahçe	Home	3-0
2 December 2007	15:00 CET	14	Fiorentina	Away	2-0
5 December 2007	15:00 CET	12	Lazio	Home	3-0
9 December 2007	15:00 CET	15	Torino	Home	4-0
12 December 2007	20:45 CET	Group stage	PSV	Away	1-0
16 December 2007	15:00 CET	16	Cagliari	Away	2-0
19 December 2007	20:30 CET	Last 16	Reggina	Away	4-1
23 December 2007	15:00 CET	17	Milan	Home	2-1
13 January 2008	15:00 CET	18	Siena	Away	3-2
16 January 2008	20:30 CET	Last 16	Reggina	Home	3-0
20 January 2008	20:30 CET	19	Parma	Home	3-2
23 January 2008	21:00 CET	Quarterfinal	Juventus	Home	2-2
27 January 2008	15:00 CET	20	Udinese	Away	0-0
30 January 2008	20:00 CET	Quarterfinal	Juventus	Away	3-2
3 February 2008	15:00 CET	21	Empoli	Home	1-0
10 February 2008	20:30 CET	22	Catania	Away	2-0
17 February 2008	17:00 CET	23	Livorno	Home	2-0
19 February 2008	20:45 CET	Last 16	Liverpool	Away	0-2
24 February 2008	15:00 CET	24	Sampdoria	Away	1-1
27 February 2008	20:30 CET	25	Roma	Home	1-1
2 March 2008	20:30 CET	26	Napoli	Away	0-1
8 March 2008	18:00 CET	27	Reggina	Home	2-0
11 March 2008	20:45 CET	Last 16	Liverpool	Home	0-1
16 March 2008	15:00 CET	28	Palermo	Home	2-1
19 March 2008	20:30 CET	29	Genoa	Away	1-1
22 March 2008	20:30 CET	30	Juventus	Home	1-2
30 March 2008	18:30 CET	31	Lazio	Away	1-1
6 April 2008	15:00 CET	32	Atalanta	Away	2-0
13 April 2008	20:30 CET	33	Fiorentina	Home	2-0
16 April 2008	20:45 CET	Semifinal	Lazio	Home	0-0
20 April 2008	20:30 CET	34	Torino	Away	1-0
27 April 2008	15:00 CET	35	Cagliari	Home	2-1
4 May 2008	15:00 CET	36	Milan	Away	1-2
7 May 2008	21:00 CET	Semifinal	Lazio	Away	2-0
11 May 2008	15:00 CET	37	Siena	Home	2-2
18 May 2008	15:00 CET	38	Parma	Away	2-0
24 May 2008	21:00 CET	Final	Roma	Neutral	1-2
