Mission	Resident Country	Local Location	Local Mission	Non-Resident Head of Mission	Local Position
Andorra	Spain	N/A	N/A	César Medina	Ambassador
Australia	United Kingdom	Sydney	Honorary Consulate	Anibal de Castro	Ambassador
Barbados	Venezuela	Belmopan	Honorary Consulate	Jaime Durán Hernando	Ambassador
Belize	Honduras	Bridgetown	Honorary Consulate	José del Carmen Acosta Carrasco	Ambassador
Bolivia	Peru	La Paz	Honorary General-Consulate	Rafael Antonio Julian Cedano	Ambassador
Cyprus	Israel	N/A	N/A	Alexander de la Rosa	Ambassador
Czech Republic	Belgium	Prague	N/A	Alejandro González Pons	Ambassador
Denmark	Sweden	Copenhagen	Consulate	Marina Isabel Cáceres de Estévez	Ambassador
Finland	Sweden	Helsinki	Honorary Consulate	Marina Isabel Cáceres de Estévez	Ambassador
Guyana	Venezuela	N/A	N/A	Jaime Durán Hernando	Ambassador
Malaysia	India	N/A	N/A	Frank Hans Dannenberg Castellanos	Ambassador
Philippines	India	N/A	N/A	Frank Hans Dannenberg Castellanos	Ambassador
Monaco	Monaco	Montecarlo	Honorary Consulate	Elisabeth Anne Croesi Notari	Honorary Consul
Paraguay	Argentina	Asunción	Honorary Consulate	Rafael Calventi	Ambassador
Mauritius	India	N/A	N/A	Frank Hans Dannenberg Castellanos	Ambassador
Poland	Belgium	Warsaw	N/A	Alejandro González Pons	Ambassador
Romania	Italy	Bucharest	Honorary Consulate	Vinicio Tobal	Ambassador
Serbia	Austria	Belgrade	N/A	Ramón Quiñones	Ambassador
Singapore	Belgium	Warsaw	N/A	Lilia Sánchez de Morehead	Ambassador
Suriname	Venezuela	N/A	N/A	Jaime Durán Hernando	Ambassador
Thailand	India	Bangkok	Honorary General-Consulate	Frank Hans Dannenberg Castellanos	Ambassador
Vietnam	India	N/A	N/A	Frank Hans Dannenberg Castellanos	Ambassador
