Total #	Episode #	Title	Directed by	Written by	Original air date
14	1	"Ass Hickey"	James Genn	Sheri Elwood	September25,2011
15	2	"Fucking Memories"	Jason Priestley	Dennis Heaton	September25,2011
16	3	"Don of the Differently Abled"	Jason Priestley	Matt MacLennan	October2,2011
17	4	"My Own Private OKA"	Michael DeCarlo	Jeff Detsky & Adrianna Maggs	October9,2011
18	5	"Pubic Disturbance"	James Genn	Sheri Elwood & Heidi Gerber	October16,2011
19	6	"Bring Me the Feet of Dexter Laine"	James Genn	Dennis Heaton & Kyle Muir	October23,2011
20	7	"Dysfunctional Family Circus"	Jim Allodi	Dennis Heaton	October30,2011
21	8	"Heir of the Dog"	Jim Allodi	Sheri Elwood	November6,2011
22	9	"Repo Wedding"	Michael DeCarlo	Matt MacLennan	November13,2011
23	10	"How Do You Say Blowjob in Pennsylvania Dutch?"	Shawn Alex Thompson	Jeff Detsky	November20,2011
24	11	"Revel Without Applause"	Shawn Alex Thompson	Heidi Gerber & Adrianna Maggs	November27,2011
25	12	"Hell Hath No Drink Limit"	Sheri Elwood	Sheri Elwood & Dennis Heaton	December4,2011
