Date	Opponent	Location	Result	Record	Rank
Aug 20, 2012	at UC Irvine	Irvine, CA	W , 2-1	1-0-0	14
Aug 22, 2012	at San Diego	San Diego, CA	L , 0-1	1-1-0	14
Aug 25, 2012	UTSA	Ellis Field	W , 2-0	2-1-0	12
Aug 31, 2012	Rutgers	Ellis Field	W , 4-1	3-1-0	17
Sept 2, 2012	St. Mary's	Ellis Field	W , 1-0	4-1-0	17
Sept 7, 2012	Long Beach St.	Ellis Field	W , 3-0	5-1-0	14
Sept 9, 2012	Central Michigan	Ellis Field	W , 2-0	6-1-0	14
Sept 14, 2012	at LSU	Baton Rouge, LA	W , 1-0	7-1-0	10
Sept 16, 2012	at Ole Miss	Oxford, MS	W , 4-0	8-1-0	10
Sept 21, 2012	South Carolina	Ellis Field	W , 2-0	9-1-0	10
Sept 23, 2012	Auburn	Ellis Field	W , 2-0	10-1-0	10
Sept 28, 2012	at Kentucky	Lexington, KY	T , 2-2 2OT	10-1-1	6
Sept 30, 2012	at Mississippi St.	Starkville, MS	W , 2-0	11-1-1	6
Oct 5, 2012	Alabama	Ellis Field	W , 5-0	12-1-1	5
Oct 7, 2012	Florida	Ellis Field	L , 1-2	12-2-1	5
Oct 12, 2012	at Arkansas	Fayetteville, AR	W , 3-1	13-2-1	9
Oct 14, 2012	at Vanderbilt	Nashville, TN	W , 4-0	14-2-1	9
Oct 19, 2012	Tennessee	Ellis Field	L , 0-1	14-3-1	9
Oct 21, 2012	Georgia	Ellis Field	W , 1-0 2OT	15-3-1	9
Oct 25, 2012	Missouri	Ellis Field	W , 2-1 OT	16-3-1	13
SEC Tournament	SEC Tournament	SEC Tournament	SEC Tournament	SEC Tournament	SEC Tournament
Oct 31, 2012	vs. South Carolina	Orange Beach, AL	W , 1-0 OT	17-3-1	13
Nov 2, 2012	vs. Auburn	Orange Beach, AL	L , 0-2	17-4-1	12
NCAA Tournament	NCAA Tournament	NCAA Tournament	NCAA Tournament	NCAA Tournament	NCAA Tournament
Nov 9, 2012	vs. Stephen F. Austin	Ellis Field	W , 1-0	18-4-1	15
Nov 16, 2012	vs. Oakland	Tallahassee, FL	W , 3-0	19-4-1	15
Nov 16, 2012	vs. Florida St.	Tallahassee, FL	L , 0-4	19-5-1	15
