Draw	Language	Artist	Song	English translation	Place	Points
01	Viennese	Marianne Mendt	" Musik "	Music	16	66
02	Maltese	Joe Grech	" Marija l-Maltija "	Mary, the Maltese girl	18	52
03	French	Séverine	" Un banc, un arbre, une rue "	A bench, a tree, a street	1	128
04	French	Peter, Sue and Marc	" Les illusions de nos vingt ans "	The illusions of our youth	12	78
05	German	Katja Ebstein	" Diese Welt "	This world	3	100
06	Spanish	Karina	" En un mundo nuevo "	In a new world	2	116
07	French	Serge Lama	" Un jardin sur la terre "	A garden on earth	10	82
08	French	Monique Melsen	" Pomme, pomme, pomme "	Apple, apple, apple	13	70
09	English	Clodagh Rodgers	" Jack In The Box "	—	4	98
10	Dutch	Lily Castel & Jacques Raymond	" Goeiemorgen, morgen "	Good morning, morning	14	68
11	Italian	Massimo Ranieri	" L'amore è un attimo "	Love is a moment	5	91
12	Swedish	Family Four	" Vita vidder "	White horizons	6	85
13	English	Angela Farrell	" One Day Love "	—	11	79
14	Dutch	Saskia & Serge	" Tijd "	Time	6	85
15	Portuguese	Tonicha	" Menina do alto da serra "	High ridge girl	9	83
16	Croatian	Krunoslav Slabinac	" Tvoj dječak je tužan "	Your boy is sad	14	68
17	Finnish	Markku Aro & Koivistolaiset	" Tie uuteen päivään "	A way to a new day	8	84
18	Norwegian	Hanne Krogh	" Lykken er "	Happiness is	17	65
